training_id,grant_id,project_id,activity_id,location_id,period_id,facilitator_id,training_title,training_type,target_group,start_date,end_date,duration_days,planned_attendance,total_attendance,attendance_male,attendance_female,attendance_youth,attendance_pwd,total_cost,cost_currency,cost_per_participant,pre_assessment_avg,post_assessment_avg,knowledge_gain_pct,certificates_issued,venue,notes
TRN-2025-0015,GRT-2024-001,PRJ-2024-002,ACT-0042,LOC-KIL-004,FP-2025-01,STF-014,Cooperative Management,Leadership,Agro Dealers,2025-01-19,2025-01-21,3,30,28,12,16,14,0,2177000.0,TZS,77750.0,51.3,68.0,16.7,28,Community Centre,Training delivered by internal staff
TRN-2025-0016,GRT-2024-002,PRJ-2024-003,ACT-0048,LOC-ARU-003,FP-2025-04,STF-039,Community Based Child Protection,Leadership,Social Welfare Officers,2025-04-15,2025-04-15,1,60,59,20,39,18,1,1386000.0,TZS,23491.53,43.5,,,0,Community Centre,
TRN-2025-0017,GRT-2023-003,PRJ-2023-013,ACT-0080,LOC-ARU-001,FP-2025-08,STF-012,Malaria Prevention and Treatment,Vocational,Community Health Workers,2025-08-18,2025-08-21,4,100,91,28,63,54,1,8157000.0,TZS,89637.36,33.8,52.7,18.9,0,School Hall,Training delivered by internal staff
TRN-2025-0018,GRT-2024-002,PRJ-2024-004,ACT-0050,LOC-MAN-004,FP-2025-08,STF-007,Child Safeguarding and Protection,Awareness,Religious Leaders,2025-08-14,2025-08-17,4,80,77,37,40,38,1,11769000.0,TZS,152844.16,53.3,81.5,28.2,77,Community Centre,
TRN-2025-0019,GRT-2022-003,PRJ-2023-003,ACT-0011,LOC-KIL-003,FP-2025-04,STF-036,Community Health Worker Basic Training,Financial Management,Community Members,2025-04-06,2025-04-08,3,80,77,45,32,41,3,9195000.0,TZS,119415.58,36.2,56.9,20.7,0,District Council Hall,Training delivered by external facilitator
TRN-2025-0020,GRT-2023-001,PRJ-2023-002,ACT-0009,LOC-KIL-002,FP-2025-09,STF-008,Community Health Worker Basic Training,Awareness,Village Health Workers,2025-09-04,2025-09-07,4,60,61,20,41,23,2,4406000.0,TZS,72229.51,42.7,66.6,23.9,0,Government Office Meeting Room,Training delivered by government partner
TRN-2025-0021,GRT-2023-002,PRJ-2023-004,ACT-0015,LOC-ARU-002,FP-2025-08,STF-040,School Management Training,Technical,School Administrators,2025-08-06,2025-08-10,5,80,83,45,38,29,1,17534000.0,TZS,211253.01,41.0,58.5,17.5,83,School Hall,Training delivered by external facilitator
TRN-2025-0022,GRT-2022-004,PRJ-2023-005,ACT-0019,LOC-KIL-001,FP-2025-09,STF-019,Inclusive Education,Vocational,Education Officers,2025-09-10,2025-09-12,3,25,23,13,10,13,1,1505000.0,TZS,65434.78,39.8,77.5,37.7,23,Hotel Conference Room,
TRN-2025-0023,GRT-2024-001,PRJ-2024-002,ACT-0045,LOC-KIL-004,FP-2025-05,STF-018,Cooperative Management,Vocational,Smallholder Farmers,2025-05-26,2025-05-30,5,60,60,19,41,30,1,12657000.0,TZS,210950.0,,69.1,27.4,60,Hotel Conference Room,
TRN-2025-0024,GRT-2024-001,PRJ-2024-002,ACT-0043,LOC-KIL-004,FP-2025-06,STF-028,Irrigation Management,Awareness,Cooperative Members,2025-06-04,2025-06-05,2,50,37,22,15,18,1,2986000.0,TZS,80702.7,52.3,81.7,29.4,0,School Hall,Training delivered by external facilitator
TRN-2025-0025,GRT-2023-002,PRJ-2023-004,ACT-0015,LOC-ARU-002,FP-2025-02,STF-036,Early Childhood Development,Awareness,Teachers,2025-02-01,2025-02-04,4,30,22,11,11,8,1,1870000.0,TZS,85000.0,42.3,63.5,21.2,22,Hotel Conference Room,Training delivered by government partner
TRN-2025-0026,GRT-2023-001,PRJ-2023-002,ACT-0008,LOC-KIL-002,FP-2025-10,STF-016,Nutrition Counselling,Vocational,Community Health Workers,2025-10-05,2025-10-08,4,100,96,61,35,41,1,9865000.0,TZS,102760.42,54.1,76.4,22.3,96,Hotel Conference Room,
TRN-2025-0027,GRT-2024-001,PRJ-2024-001,ACT-0041,LOC-MAN-001,FP-2025-06,STF-025,Cooperative Management,Financial Management,Cooperative Members,2025-06-01,2025-06-04,4,80,79,52,27,43,3,8148000.0,TZS,103139.24,36.1,,,79,Government Office Meeting Room,Training delivered by internal staff
TRN-2025-0028,GRT-2024-004,PRJ-2024-006,ACT-0067,LOC-MAN-002,FP-2025-03,STF-020,Climate Smart Agriculture Practices,Awareness,Youth Farmers,2025-03-04,2025-03-08,5,100,95,30,65,52,4,10151000.0,TZS,106852.63,53.4,69.0,15.6,95,Community Centre,Training delivered by external facilitator
TRN-2025-0029,GRT-2024-001,PRJ-2024-002,ACT-0044,LOC-KIL-004,FP-2025-06,STF-032,Post Harvest Handling,Vocational,Cooperative Members,2025-06-12,2025-06-16,5,60,46,21,25,15,1,9102000.0,TZS,197869.57,47.2,84.2,37.0,0,CDFT Training Centre,
TRN-2025-0030,GRT-2024-002,PRJ-2024-004,ACT-0051,LOC-MAN-004,FP-2025-07,STF-005,Reporting and Referral Pathways,Technical,Religious Leaders,2025-07-04,2025-07-04,1,25,19,9,10,6,1,828000.0,TZS,43578.95,35.9,71.6,35.7,0,School Hall,
TRN-2025-0031,GRT-2022-004,PRJ-2023-005,ACT-0018,LOC-KIL-001,FP-2025-03,STF-033,Teacher Pedagogy Training,Leadership,Teachers,2025-03-13,2025-03-14,2,20,18,6,12,8,1,1355000.0,TZS,75277.78,35.4,66.8,31.4,18,School Hall,Training delivered by internal staff
TRN-2025-0032,GRT-2023-004,PRJ-2023-009,ACT-0035,LOC-MAN-003,FP-2025-04,STF-018,Climate Smart Agriculture Practices,Financial Management,Youth Farmers,2025-04-14,2025-04-17,4,40,38,14,24,16,0,5265000.0,TZS,138552.63,54.7,86.5,31.8,38,Government Office Meeting Room,Training delivered by government partner
TRN-2025-0033,GRT-2023-002,PRJ-2023-012,ACT-0072,LOC-ARU-001,FP-2025-04,STF-026,Inclusive Education,Leadership,School Administrators,2025-04-11,2025-04-14,4,40,36,21,15,16,0,5397000.0,TZS,149916.67,49.7,68.8,19.1,36,CDFT Training Centre,Training delivered by government partner
TRN-2025-0034,GRT-2022-003,PRJ-2023-003,ACT-0010,LOC-KIL-003,FP-2025-08,STF-036,Nutrition Counselling,Financial Management,Community Health Workers,2025-08-09,2025-08-11,3,50,40,19,21,16,2,4168000.0,TZS,104200.0,47.4,74.0,26.6,40,CDFT Training Centre,
TRN-2025-0035,GRT-2024-002,PRJ-2024-003,ACT-0048,LOC-ARU-003,FP-2025-08,STF-029,Case Management Procedures,Vocational,Social Welfare Officers,2025-08-25,2025-08-25,1,80,64,31,33,41,1,2357000.0,TZS,36828.12,48.2,85.1,36.9,64,School Hall,
TRN-2025-0036,GRT-2023-003,PRJ-2023-013,ACT-0078,LOC-ARU-001,FP-2025-11,STF-035,Nutrition Counselling,Leadership,Community Members,2025-11-25,2025-11-25,1,100,84,37,47,26,3,2218000.0,TZS,26404.76,48.6,74.9,26.3,0,School Hall,Training delivered by external facilitator
TRN-2025-0037,GRT-2023-001,PRJ-2023-002,ACT-0008,LOC-KIL-002,FP-2025-02,STF-006,HIV AIDS Awareness,Awareness,Community Health Workers,2025-02-02,2025-02-04,3,100,102,61,41,54,3,11010000.0,TZS,107941.18,34.4,54.4,20.0,102,CDFT Training Centre,Training delivered by internal staff
TRN-2025-0038,GRT-2024-004,PRJ-2024-006,ACT-0067,LOC-MAN-002,FP-2025-03,STF-032,Climate Smart Agriculture Practices,Awareness,Community Leaders,2025-03-10,2025-03-14,5,50,40,19,21,25,0,8834000.0,TZS,220850.0,43.4,67.7,24.3,0,School Hall,
TRN-2025-0039,GRT-2024-003,PRJ-2024-005,ACT-0057,LOC-ARU-004,FP-2025-03,STF-017,HIV AIDS Awareness,Awareness,Health Facility Staff,2025-03-19,2025-03-22,4,50,41,21,20,17,1,4302000.0,TZS,104926.83,37.3,64.5,27.2,0,Government Office Meeting Room,Training delivered by external facilitator
TRN-2025-0040,GRT-2024-001,PRJ-2024-002,ACT-0043,LOC-KIL-004,FP-2025-09,STF-024,Market Information Systems,Leadership,Cooperative Members,2025-09-07,2025-09-08,2,100,88,35,53,51,3,3331000.0,TZS,37852.27,33.4,64.3,30.9,0,Community Centre,Training delivered by internal staff
TRN-2025-0041,GRT-2023-003,PRJ-2023-013,ACT-0081,LOC-ARU-001,FP-2025-03,STF-030,Nutrition Counselling,Leadership,Health Facility Staff,2025-03-23,2025-03-27,5,20,19,13,6,9,0,4200000.0,TZS,221052.63,33.4,55.4,22.0,19,Government Office Meeting Room,Training delivered by internal staff
TRN-2025-0042,GRT-2023-003,PRJ-2023-013,ACT-0077,LOC-ARU-001,FP-2025-01,STF-008,HIV AIDS Awareness,Financial Management,Community Health Workers,2025-01-04,2025-01-08,5,80,70,23,47,35,3,13739000.0,TZS,196271.43,36.4,69.8,33.4,70,Hotel Conference Room,
TRN-2025-0043,GRT-2021-001,PRJ-2023-007,ACT-0028,LOC-ARU-001,FP-2025-09,STF-037,Leadership for Women,Leadership,Youth Women,2025-09-11,2025-09-15,5,25,24,11,13,8,0,2652000.0,TZS,110500.0,30.8,54.2,23.4,0,School Hall,Training delivered by internal staff
TRN-2025-0044,GRT-2024-002,PRJ-2024-003,ACT-0047,LOC-ARU-003,FP-2025-06,STF-024,Child Safeguarding and Protection,Technical,Community Leaders,2025-06-15,2025-06-18,4,20,17,7,10,10,0,1748000.0,TZS,102823.53,41.7,79.3,37.6,17,Hotel Conference Room,Training delivered by internal staff
TRN-2025-0045,GRT-2023-001,PRJ-2023-002,ACT-0007,LOC-KIL-002,FP-2025-06,STF-039,HIV AIDS Awareness,Vocational,Health Facility Staff,2025-06-10,2025-06-10,1,30,27,14,13,17,0,949000.0,TZS,35148.15,34.3,56.5,22.2,27,District Council Hall,Training delivered by external facilitator
TRN-2025-0046,GRT-2023-004,PRJ-2023-009,ACT-0036,LOC-MAN-003,FP-2025-02,STF-019,Disaster Risk Reduction,Financial Management,Community Leaders,2025-02-18,2025-02-19,2,30,24,15,9,14,1,2068000.0,TZS,86166.67,54.0,88.3,34.3,24,School Hall,Training delivered by government partner
TRN-2025-0047,GRT-2023-004,PRJ-2023-008,ACT-0033,LOC-MAN-002,FP-2025-08,STF-012,Water Harvesting Techniques,Financial Management,Smallholder Farmers,2025-08-16,2025-08-18,3,20,18,7,11,6,0,1846000.0,TZS,102555.56,,55.3,15.6,18,CDFT Training Centre,Training delivered by internal staff
TRN-2025-0048,GRT-2023-003,PRJ-2023-013,ACT-0080,LOC-ARU-001,FP-2025-06,STF-021,Nutrition Counselling,Leadership,Community Health Workers,2025-06-05,2025-06-07,3,40,37,18,19,22,1,3254000.0,TZS,87945.95,36.4,70.1,33.7,37,District Council Hall,Training delivered by government partner
TRN-2025-0049,GRT-2024-001,PRJ-2024-007,ACT-0074,LOC-ARU-002,FP-2025-07,STF-038,Irrigation Management,Leadership,Agro Dealers,2025-07-16,2025-07-17,2,20,15,7,8,5,1,1137000.0,TZS,75800.0,,79.6,27.6,15,School Hall,Training delivered by government partner
TRN-2025-0050,GRT-2023-002,PRJ-2023-004,ACT-0017,LOC-ARU-002,FP-2025-11,STF-017,Inclusive Education,Financial Management,Parent Teachers Association Members,2025-11-14,2025-11-16,3,20,18,9,9,6,1,1684000.0,TZS,93555.56,35.0,53.3,18.3,18,Community Centre,Training delivered by external facilitator
TRN-2025-0051,GRT-2024-001,PRJ-2024-001,ACT-0038,LOC-MAN-001,FP-2025-07,STF-027,Market Information Systems,Awareness,Smallholder Farmers,2025-07-25,2025-07-25,1,40,41,16,25,17,0,1365000.0,TZS,33292.68,42.7,72.5,,0,CDFT Training Centre,Training delivered by internal staff
TRN-2025-0052,GRT-2024-001,PRJ-2024-002,ACT-0044,LOC-KIL-004,FP-2025-05,STF-024,Market Information Systems,Leadership,Cooperative Members,2025-05-22,2025-05-26,5,100,93,58,35,29,1,19379000.0,TZS,208376.34,35.3,73.4,38.1,93,Hotel Conference Room,Training delivered by external facilitator
TRN-2025-0053,GRT-2023-002,PRJ-2023-004,ACT-0015,LOC-ARU-002,FP-2025-10,STF-005,School Management Training,Financial Management,Education Officers,2025-10-11,2025-10-12,2,40,30,17,13,10,1,1526000.0,TZS,50866.67,45.3,84.2,38.9,0,CDFT Training Centre,Training delivered by external facilitator
TRN-2025-0054,GRT-2023-001,PRJ-2023-011,ACT-0064,LOC-MAN-001,FP-2025-06,STF-032,WASH Behaviour Change,Financial Management,Health Facility Staff,2025-06-11,2025-06-15,5,30,26,17,9,15,1,3984000.0,TZS,153230.77,,71.2,38.2,26,Community Centre,
TRN-2025-0055,GRT-2024-002,PRJ-2024-004,ACT-0053,LOC-MAN-004,FP-2025-11,STF-026,Case Management Procedures,Awareness,Community Child Protection Committee Members,2025-11-18,2025-11-21,4,60,58,30,28,20,0,5629000.0,TZS,97051.72,32.4,,32.3,0,CDFT Training Centre,Training delivered by internal staff
TRN-2025-0056,GRT-2022-003,PRJ-2023-003,ACT-0013,LOC-KIL-003,FP-2025-10,STF-015,Malaria Prevention and Treatment,Financial Management,Community Members,2025-10-20,2025-10-23,4,40,33,21,12,19,1,4139000.0,TZS,125424.24,32.9,51.0,18.1,33,Community Centre,
TRN-2025-0057,GRT-2024-001,PRJ-2024-007,ACT-0076,LOC-ARU-002,FP-2025-06,STF-027,Market Information Systems,Awareness,Extension Officers,2025-06-14,2025-06-17,4,80,76,48,28,48,0,11671000.0,TZS,153565.79,36.2,72.0,35.8,76,CDFT Training Centre,Training delivered by internal staff
TRN-2025-0058,GRT-2024-002,PRJ-2024-003,ACT-0048,LOC-ARU-003,FP-2025-02,STF-038,Child Safeguarding and Protection,Vocational,Community Child Protection Committee Members,2025-02-23,2025-02-27,5,25,23,11,12,13,0,2450000.0,TZS,106521.74,39.8,72.1,32.3,23,School Hall,
TRN-2025-0059,GRT-2023-003,PRJ-2023-006,ACT-0022,LOC-KIL-001,FP-2025-09,STF-033,Business Skills Development,Leadership,VSLA Members,2025-09-09,2025-09-12,4,25,21,9,12,12,0,2253000.0,TZS,107285.71,34.6,67.2,32.6,0,District Council Hall,
TRN-2025-0060,GRT-2022-004,PRJ-2023-005,ACT-0019,LOC-KIL-001,FP-2025-06,STF-007,School Management Training,Awareness,Teachers,2025-06-19,2025-06-21,3,25,19,10,9,9,0,1769000.0,TZS,93105.26,52.4,68.0,15.6,19,School Hall,Training delivered by government partner
TRN-2025-0061,GRT-2024-001,PRJ-2024-007,ACT-0074,LOC-ARU-002,FP-2025-08,STF-023,Improved Farming Techniques,Financial Management,Extension Officers,2025-08-05,2025-08-06,2,80,60,29,31,20,0,3466000.0,TZS,57766.67,49.4,79.8,30.4,60,Hotel Conference Room,Training delivered by government partner
TRN-2025-0062,GRT-2023-004,PRJ-2023-009,ACT-0036,LOC-MAN-003,FP-2025-06,STF-030,Water Harvesting Techniques,Financial Management,Extension Officers,2025-06-19,2025-06-21,3,30,22,9,13,6,0,1314000.0,TZS,59727.27,,57.3,26.6,22,District Council Hall,
TRN-2025-0063,GRT-2023-002,PRJ-2023-012,ACT-0072,LOC-ARU-001,FP-2025-09,STF-017,Child Centred Learning Methods,Vocational,Teachers,2025-09-08,2025-09-08,1,100,97,61,36,45,0,4331000.0,TZS,44649.48,53.4,73.1,19.7,0,School Hall,
TRN-2025-0064,GRT-2024-001,PRJ-2024-007,ACT-0074,LOC-ARU-002,FP-2025-05,STF-024,Cooperative Management,Technical,Extension Officers,2025-05-10,2025-05-14,5,80,63,22,41,36,1,6177000.0,TZS,98047.62,48.6,88.6,40.0,63,CDFT Training Centre,
TRN-2025-0065,GRT-2023-004,PRJ-2023-008,ACT-0033,LOC-MAN-002,FP-2025-11,STF-013,Disaster Risk Reduction,Vocational,Community Leaders,2025-11-16,2025-11-19,4,50,43,16,27,20,0,4324000.0,TZS,100558.14,40.5,74.2,33.7,0,CDFT Training Centre,Training delivered by internal staff
TRN-2025-0066,GRT-2023-001,PRJ-2023-001,ACT-0002,LOC-KIL-001,FP-2025-11,STF-006,HIV AIDS Awareness,Technical,Health Facility Staff,2025-11-10,2025-11-10,1,40,33,12,21,18,1,949000.0,TZS,28757.58,36.7,64.2,27.5,0,Community Centre,
TRN-2025-0067,GRT-2024-004,PRJ-2024-006,ACT-0068,LOC-MAN-002,FP-2025-03,STF-024,Reforestation and Tree Nursery Management,Financial Management,Extension Officers,2025-03-21,2025-03-23,3,20,18,11,7,8,1,2226000.0,TZS,123666.67,42.1,70.1,28.0,0,CDFT Training Centre,Training delivered by external facilitator
TRN-2025-0068,GRT-2024-004,PRJ-2024-006,ACT-0068,LOC-MAN-002,FP-2025-01,STF-023,Water Harvesting Techniques,Technical,Smallholder Farmers,2025-01-22,2025-01-26,5,50,42,24,18,26,0,9297000.0,TZS,221357.14,34.7,50.0,15.3,42,Community Centre,
TRN-2025-0069,GRT-2023-005,PRJ-2023-010,ACT-0055,LOC-KIL-001,FP-2025-09,STF-029,Community Health Worker Basic Training,Leadership,Community Members,2025-09-23,2025-09-27,5,30,25,13,12,14,1,5409000.0,TZS,216360.0,51.2,67.9,16.7,0,Community Centre,
TRN-2025-0070,GRT-2022-003,PRJ-2023-003,ACT-0010,LOC-KIL-003,FP-2025-04,STF-017,WASH Behaviour Change,Awareness,Community Members,2025-04-18,2025-04-21,4,20,20,13,7,7,0,2663000.0,TZS,133150.0,43.4,67.1,23.7,20,District Council Hall,Training delivered by government partner
TRN-2025-0071,GRT-2023-001,PRJ-2023-001,ACT-0005,LOC-KIL-001,FP-2025-08,STF-008,Nutrition Counselling,Awareness,Health Facility Staff,2025-08-04,2025-08-08,5,25,26,11,15,13,0,5218000.0,TZS,200692.31,48.9,74.8,25.9,0,District Council Hall,Training delivered by internal staff
TRN-2025-0072,GRT-2021-001,PRJ-2023-007,ACT-0028,LOC-ARU-001,FP-2025-03,STF-028,Financial Literacy and Savings,Vocational,Women Group Members,2025-03-26,2025-03-27,2,20,15,6,9,9,0,857000.0,TZS,57133.33,50.7,73.0,22.3,15,School Hall,Training delivered by government partner
TRN-2025-0073,GRT-2023-005,PRJ-2023-010,ACT-0054,LOC-KIL-001,FP-2025-02,STF-028,Community Health Worker Basic Training,Leadership,Health Facility Staff,2025-02-12,2025-02-16,5,50,48,15,33,27,2,7428000.0,TZS,154750.0,35.8,75.7,39.9,48,District Council Hall,Training delivered by external facilitator
TRN-2025-0074,GRT-2023-001,PRJ-2023-011,ACT-0061,LOC-MAN-001,FP-2025-10,STF-019,Malaria Prevention and Treatment,Financial Management,Village Health Workers,2025-10-18,2025-10-19,2,25,19,9,10,7,1,1338000.0,TZS,70421.05,35.2,55.8,20.6,19,Government Office Meeting Room,
TRN-2025-0075,GRT-2024-001,PRJ-2024-007,ACT-0075,LOC-ARU-002,FP-2025-07,STF-036,Irrigation Management,Vocational,Smallholder Farmers,2025-07-15,2025-07-17,3,40,38,20,18,20,0,4379000.0,TZS,115236.84,35.9,72.1,36.2,38,CDFT Training Centre,Training delivered by external facilitator
TRN-2025-0076,GRT-2024-002,PRJ-2024-003,ACT-0046,LOC-ARU-003,FP-2025-04,STF-010,Psychosocial Support Basics,Awareness,Religious Leaders,2025-04-21,2025-04-25,5,30,24,8,16,12,1,4367000.0,TZS,181958.33,49.8,65.8,16.0,0,CDFT Training Centre,Training delivered by external facilitator
TRN-2025-0077,GRT-2023-004,PRJ-2023-009,ACT-0037,LOC-MAN-003,FP-2025-11,STF-014,Water Harvesting Techniques,Leadership,Extension Officers,2025-11-05,2025-11-06,2,40,38,22,16,14,0,3089000.0,TZS,81289.47,46.8,63.3,16.5,38,Community Centre,
TRN-2025-0078,GRT-2023-002,PRJ-2023-004,ACT-0017,LOC-ARU-002,FP-2025-09,STF-039,Early Childhood Development,Awareness,Teachers,2025-09-11,2025-09-11,1,60,52,27,25,30,0,1182000.0,TZS,22730.77,50.4,77.0,,52,District Council Hall,
TRN-2025-0079,GRT-2023-005,PRJ-2023-010,ACT-0056,LOC-KIL-001,FP-2025-02,STF-032,Nutrition Counselling,Vocational,Village Health Workers,2025-02-16,2025-02-17,2,60,62,28,34,35,0,2991000.0,TZS,48241.94,30.1,68.5,38.4,62,CDFT Training Centre,Training delivered by external facilitator
TRN-2025-0080,GRT-2022-003,PRJ-2023-003,ACT-0010,LOC-KIL-003,FP-2025-01,STF-033,Malaria Prevention and Treatment,Financial Management,Community Health Workers,2025-01-19,2025-01-19,1,80,79,25,54,35,2,3002000.0,TZS,38000.0,46.8,83.2,36.4,79,Hotel Conference Room,
TRN-2025-0081,GRT-2023-005,PRJ-2023-010,ACT-0054,LOC-KIL-001,FP-2025-07,STF-023,WASH Behaviour Change,Financial Management,Village Health Workers,2025-07-09,2025-07-11,3,40,33,14,19,12,0,2365000.0,TZS,71666.67,48.5,82.0,33.5,0,Community Centre,Training delivered by internal staff
TRN-2025-0082,GRT-2021-001,PRJ-2023-007,ACT-0029,LOC-ARU-001,FP-2025-09,STF-013,Business Skills Development,Financial Management,Youth Women,2025-09-10,2025-09-11,2,60,46,20,26,29,2,2906000.0,TZS,63173.91,50.8,75.0,24.2,46,CDFT Training Centre,
TRN-2025-0083,GRT-2023-004,PRJ-2023-008,ACT-0032,LOC-MAN-002,FP-2025-01,STF-029,Water Harvesting Techniques,Awareness,Extension Officers,2025-01-19,2025-01-20,2,40,36,14,22,20,1,2347000.0,TZS,65194.44,38.4,68.3,29.9,36,Hotel Conference Room,
TRN-2025-0084,GRT-2024-002,PRJ-2024-004,ACT-0051,LOC-MAN-004,FP-2025-08,STF-026,Reporting and Referral Pathways,Financial Management,Social Welfare Officers,2025-08-06,2025-08-07,2,80,62,31,31,23,0,4549000.0,TZS,73370.97,52.7,74.3,21.6,62,District Council Hall,Training delivered by external facilitator
TRN-2025-0085,GRT-2024-001,PRJ-2024-002,ACT-0044,LOC-KIL-004,FP-2025-02,STF-027,Irrigation Management,Technical,Extension Officers,2025-02-16,2025-02-20,5,40,36,17,19,13,0,5132000.0,TZS,142555.56,44.5,63.9,19.4,36,District Council Hall,
TRN-2025-0086,GRT-2024-003,PRJ-2024-005,ACT-0057,LOC-ARU-004,FP-2025-04,STF-027,Community Health Worker Basic Training,Leadership,Community Members,2025-04-02,2025-04-05,4,80,66,31,35,32,2,10583000.0,TZS,160348.48,42.0,67.7,25.7,66,School Hall,
TRN-2025-0087,GRT-2023-001,PRJ-2023-001,ACT-0005,LOC-KIL-001,FP-2025-07,STF-011,WASH Behaviour Change,Vocational,Health Facility Staff,2025-07-03,2025-07-06,4,50,42,17,25,18,0,7385000.0,TZS,175833.33,41.6,79.7,38.1,42,School Hall,Training delivered by internal staff
TRN-2025-0088,GRT-2024-003,PRJ-2024-005,ACT-0058,LOC-ARU-004,FP-2025-09,STF-016,Nutrition Counselling,Awareness,Health Facility Staff,2025-09-11,2025-09-15,5,100,98,50,48,48,0,21889000.0,TZS,223357.14,39.7,63.3,,0,Government Office Meeting Room,Training delivered by government partner
