allocation_id,grant_id,project_id,budget_line_id,activity_id,period_id,original_amount,revised_amount,currency,version,virement_reference,approved_by,approval_date,notes
BGA-0021,GRT-2023-001,PRJ-2023-001,BDL-0018,ACT-0003,FP-2025-09,6679.84,6679.84,USD,1,,,,
BGA-0022,GRT-2023-001,PRJ-2023-001,BDL-0018,ACT-0001,FP-2025-10,4604.16,4540.63,USD,2,VIR-2025-047,STF-003,2025-06-10,Quarterly reallocation
BGA-0023,GRT-2023-001,PRJ-2023-001,BDL-0018,ACT-0003,FP-2025-11,4297.74,4297.74,USD,1,,,,
BGA-0024,GRT-2023-001,PRJ-2023-001,BDL-0018,ACT-0003,FP-2025-12,4358.51,4358.51,USD,1,,,,
BGA-0025,GRT-2023-001,PRJ-2023-001,BDL-0004,ACT-0004,FP-2025-01,1315.96,1315.96,USD,1,,,,
BGA-0026,GRT-2023-001,PRJ-2023-001,BDL-0004,ACT-0002,FP-2025-02,1394.22,1394.22,USD,1,,,,
BGA-0027,GRT-2023-001,PRJ-2023-001,BDL-0004,ACT-0004,FP-2025-03,1315.02,1195.68,USD,2,VIR-2025-013,STF-001,2025-07-22,Quarterly reallocation
BGA-0028,GRT-2023-001,PRJ-2023-001,BDL-0004,ACT-0003,FP-2025-04,1440.26,1481.81,USD,2,VIR-2025-035,STF-002,2025-03-06,Quarterly reallocation
BGA-0029,GRT-2023-001,PRJ-2023-001,BDL-0004,ACT-0003,FP-2025-05,1333.62,1333.62,USD,1,,,,
BGA-0030,GRT-2023-001,PRJ-2023-001,BDL-0004,ACT-0003,FP-2025-06,1543.4,1543.4,USD,1,,,,
BGA-0031,GRT-2023-001,PRJ-2023-001,BDL-0004,ACT-0004,FP-2025-07,1701.2,1701.2,USD,1,,,,
BGA-0032,GRT-2023-001,PRJ-2023-001,BDL-0004,ACT-0004,FP-2025-08,2162.4,2162.4,USD,1,,,,
BGA-0033,GRT-2023-001,PRJ-2023-001,BDL-0004,ACT-0004,FP-2025-09,1750.46,1750.46,USD,1,,,,
BGA-0034,GRT-2023-001,PRJ-2023-001,BDL-0004,ACT-0003,FP-2025-10,1107.28,1107.28,USD,1,,,,
BGA-0035,GRT-2023-001,PRJ-2023-001,BDL-0004,ACT-0001,FP-2025-11,1310.18,1310.18,USD,1,,,,
BGA-0036,GRT-2023-001,PRJ-2023-001,BDL-0004,ACT-0002,FP-2025-12,1136.87,1136.87,USD,1,,,,
BGA-0037,GRT-2023-001,PRJ-2023-001,BDL-0017,ACT-0001,FP-2025-01,4759.63,4759.63,USD,1,,,,
BGA-0038,GRT-2023-001,PRJ-2023-001,BDL-0017,ACT-0004,FP-2025-02,4352.84,4352.84,USD,1,,,,
BGA-0039,GRT-2023-001,PRJ-2023-001,BDL-0017,ACT-0004,FP-2025-03,4866.49,4866.49,USD,1,,,,
BGA-0040,GRT-2023-001,PRJ-2023-001,BDL-0017,ACT-0003,FP-2025-04,6155.83,6486.48,USD,2,VIR-2025-028,STF-002,2025-06-13,Quarterly reallocation
BGA-0041,GRT-2023-001,PRJ-2023-001,BDL-0017,ACT-0001,FP-2025-05,7801.05,7801.05,USD,1,,,,
BGA-0042,GRT-2023-001,PRJ-2023-001,BDL-0017,ACT-0005,FP-2025-06,6992.57,6992.57,USD,1,,,,
BGA-0043,GRT-2023-001,PRJ-2023-001,BDL-0017,ACT-0001,FP-2025-07,8380.17,8380.17,USD,1,,,,
BGA-0044,GRT-2023-001,PRJ-2023-001,BDL-0017,ACT-0004,FP-2025-08,6410.65,6410.65,USD,1,,,,
BGA-0045,GRT-2023-001,PRJ-2023-001,BDL-0017,ACT-0003,FP-2025-09,6087.6,6030.0,USD,2,VIR-2025-037,STF-001,2025-06-04,Quarterly reallocation
BGA-0046,GRT-2023-001,PRJ-2023-001,BDL-0017,ACT-0003,FP-2025-10,4026.59,4026.59,USD,1,,,,
BGA-0047,GRT-2023-001,PRJ-2023-001,BDL-0017,ACT-0005,FP-2025-11,4435.29,4435.29,USD,1,,,,
BGA-0048,GRT-2023-001,PRJ-2023-001,BDL-0017,ACT-0003,FP-2025-12,3997.15,3997.15,USD,1,,,,
BGA-0049,GRT-2023-001,PRJ-2023-001,BDL-0019,ACT-0001,FP-2025-01,4441.99,4441.99,USD,1,,,,
BGA-0050,GRT-2023-001,PRJ-2023-001,BDL-0019,ACT-0005,FP-2025-02,3396.44,3396.44,USD,1,,,,
BGA-0051,GRT-2023-001,PRJ-2023-001,BDL-0019,ACT-0003,FP-2025-03,4001.78,4001.78,USD,1,,,,
BGA-0052,GRT-2023-001,PRJ-2023-001,BDL-0019,ACT-0002,FP-2025-04,6513.12,6513.12,USD,1,,,,
BGA-0053,GRT-2023-001,PRJ-2023-001,BDL-0019,ACT-0004,FP-2025-05,7032.77,7032.77,USD,1,,,,
BGA-0054,GRT-2023-001,PRJ-2023-001,BDL-0019,ACT-0001,FP-2025-06,5164.04,5164.04,USD,1,,,,
BGA-0055,GRT-2023-001,PRJ-2023-001,BDL-0019,ACT-0004,FP-2025-07,6577.36,6577.36,USD,1,,,,
BGA-0056,GRT-2023-001,PRJ-2023-001,BDL-0019,ACT-0003,FP-2025-08,8039.86,8039.86,USD,1,,,,
BGA-0057,GRT-2023-001,PRJ-2023-001,BDL-0019,ACT-0005,FP-2025-09,7156.21,7156.21,USD,1,,,,
BGA-0058,GRT-2023-001,PRJ-2023-001,BDL-0019,ACT-0002,FP-2025-10,4261.95,4261.95,USD,1,,,,
BGA-0059,GRT-2023-001,PRJ-2023-001,BDL-0019,ACT-0002,FP-2025-11,4546.35,4546.35,USD,1,,,,
BGA-0060,GRT-2023-001,PRJ-2023-001,BDL-0019,ACT-0001,FP-2025-12,4683.63,4683.63,USD,1,,,,
BGA-0061,GRT-2023-001,PRJ-2023-002,BDL-0007,ACT-0009,FP-2025-01,1353.48,1353.48,USD,1,,,,
BGA-0062,GRT-2023-001,PRJ-2023-002,BDL-0007,ACT-0006,FP-2025-02,1607.32,1607.32,USD,1,,,,
BGA-0063,GRT-2023-001,PRJ-2023-002,BDL-0007,ACT-0009,FP-2025-03,1184.28,1184.28,USD,1,,,,
BGA-0064,GRT-2023-001,PRJ-2023-002,BDL-0007,ACT-0006,FP-2025-04,2027.15,2027.15,USD,1,,,,
BGA-0065,GRT-2023-001,PRJ-2023-002,BDL-0007,ACT-0006,FP-2025-05,1705.81,1705.81,USD,1,,,,
BGA-0066,GRT-2023-001,PRJ-2023-002,BDL-0007,ACT-0008,FP-2025-06,1966.37,1966.37,USD,1,,,,
BGA-0067,GRT-2023-001,PRJ-2023-002,BDL-0007,ACT-0007,FP-2025-07,1952.25,1952.25,USD,1,,,,
BGA-0068,GRT-2023-001,PRJ-2023-002,BDL-0007,ACT-0006,FP-2025-08,2538.8,2538.8,USD,1,,,,
BGA-0069,GRT-2023-001,PRJ-2023-002,BDL-0007,ACT-0008,FP-2025-09,2597.14,2597.14,USD,1,,,,
BGA-0070,GRT-2023-001,PRJ-2023-002,BDL-0007,ACT-0007,FP-2025-10,1240.98,1240.98,USD,1,,,,
BGA-0071,GRT-2023-001,PRJ-2023-002,BDL-0007,ACT-0008,FP-2025-11,1344.96,1344.96,USD,1,,,,
BGA-0072,GRT-2023-001,PRJ-2023-002,BDL-0007,ACT-0008,FP-2025-12,1631.55,1631.55,USD,1,,,,
BGA-0073,GRT-2023-001,PRJ-2023-002,BDL-0005,ACT-0006,FP-2025-01,1228.37,1228.37,USD,1,,,,
BGA-0074,GRT-2023-001,PRJ-2023-002,BDL-0005,ACT-0007,FP-2025-02,1446.51,1446.51,USD,1,,,,
BGA-0075,GRT-2023-001,PRJ-2023-002,BDL-0005,ACT-0008,FP-2025-03,1254.98,1254.98,USD,1,,,,
BGA-0076,GRT-2023-001,PRJ-2023-002,BDL-0005,ACT-0006,FP-2025-04,2300.22,2300.22,USD,1,,,,
BGA-0077,GRT-2023-001,PRJ-2023-002,BDL-0005,ACT-0008,FP-2025-05,1684.16,1684.16,USD,1,,,,
BGA-0078,GRT-2023-001,PRJ-2023-002,BDL-0005,ACT-0009,FP-2025-06,2145.34,2145.34,USD,1,,,,
BGA-0079,GRT-2023-001,PRJ-2023-002,BDL-0005,ACT-0008,FP-2025-07,2421.27,2567.7,USD,2,VIR-2025-020,STF-002,2025-03-04,Quarterly reallocation
BGA-0080,GRT-2023-001,PRJ-2023-002,BDL-0005,ACT-0008,FP-2025-08,2593.82,2593.82,USD,1,,,,
BGA-0081,GRT-2023-001,PRJ-2023-002,BDL-0005,ACT-0007,FP-2025-09,2269.08,2269.08,USD,1,,,,
BGA-0082,GRT-2023-001,PRJ-2023-002,BDL-0005,ACT-0007,FP-2025-10,1410.12,1410.12,USD,1,,,,
BGA-0083,GRT-2023-001,PRJ-2023-002,BDL-0005,ACT-0008,FP-2025-11,1352.66,1352.66,USD,1,,,,
BGA-0084,GRT-2023-001,PRJ-2023-002,BDL-0005,ACT-0009,FP-2025-12,1580.4,1580.4,USD,1,,,,
BGA-0085,GRT-2023-001,PRJ-2023-002,BDL-0008,ACT-0006,FP-2025-01,1024.04,1024.04,USD,1,,,,
BGA-0086,GRT-2023-001,PRJ-2023-002,BDL-0008,ACT-0008,FP-2025-02,1114.57,1114.57,USD,1,,,,
BGA-0087,GRT-2023-001,PRJ-2023-002,BDL-0008,ACT-0006,FP-2025-03,1177.27,1177.27,USD,1,,,,
BGA-0088,GRT-2023-001,PRJ-2023-002,BDL-0008,ACT-0009,FP-2025-04,1540.94,1540.94,USD,1,,,,
BGA-0089,GRT-2023-001,PRJ-2023-002,BDL-0008,ACT-0007,FP-2025-05,1512.72,1512.72,USD,1,,,,
BGA-0090,GRT-2023-001,PRJ-2023-002,BDL-0008,ACT-0008,FP-2025-06,1893.02,1893.02,USD,1,,,,
BGA-0091,GRT-2023-001,PRJ-2023-002,BDL-0008,ACT-0009,FP-2025-07,1683.89,1683.89,USD,1,,,,
BGA-0092,GRT-2023-001,PRJ-2023-002,BDL-0008,ACT-0006,FP-2025-08,1921.44,1921.44,USD,1,,,,
BGA-0093,GRT-2023-001,PRJ-2023-002,BDL-0008,ACT-0009,FP-2025-09,1607.16,1607.16,USD,1,,,,
BGA-0094,GRT-2023-001,PRJ-2023-002,BDL-0008,ACT-0008,FP-2025-10,1425.79,1425.79,USD,1,,,,
BGA-0095,GRT-2023-001,PRJ-2023-002,BDL-0008,ACT-0009,FP-2025-11,984.58,984.58,USD,1,,,,
BGA-0096,GRT-2023-001,PRJ-2023-002,BDL-0008,ACT-0006,FP-2025-12,1098.53,1107.02,USD,2,VIR-2025-017,STF-003,2025-04-04,Quarterly reallocation
BGA-0097,GRT-2023-001,PRJ-2023-002,BDL-0016,ACT-0009,FP-2025-01,3411.17,3411.17,USD,1,,,,
BGA-0098,GRT-2023-001,PRJ-2023-002,BDL-0016,ACT-0008,FP-2025-02,2531.55,2531.55,USD,1,,,,
BGA-0099,GRT-2023-001,PRJ-2023-002,BDL-0016,ACT-0009,FP-2025-03,3151.21,3438.29,USD,2,VIR-2025-018,STF-003,2025-06-24,Quarterly reallocation
BGA-0100,GRT-2023-001,PRJ-2023-002,BDL-0016,ACT-0006,FP-2025-04,4511.6,4511.6,USD,1,,,,
BGA-0101,GRT-2023-001,PRJ-2023-002,BDL-0016,ACT-0008,FP-2025-05,4136.4,4136.4,USD,1,,,,
BGA-0102,GRT-2023-001,PRJ-2023-002,BDL-0016,ACT-0007,FP-2025-06,4419.65,4419.65,USD,1,,,,
BGA-0103,GRT-2023-001,PRJ-2023-002,BDL-0016,ACT-0006,FP-2025-07,4342.55,4342.55,USD,1,,,,
BGA-0104,GRT-2023-001,PRJ-2023-002,BDL-0016,ACT-0008,FP-2025-08,4038.93,4038.93,USD,1,,,,
BGA-0105,GRT-2023-001,PRJ-2023-002,BDL-0016,ACT-0007,FP-2025-09,5537.08,5537.08,USD,1,,,,
BGA-0106,GRT-2023-001,PRJ-2023-002,BDL-0016,ACT-0008,FP-2025-10,3216.67,3216.67,USD,1,,,,
BGA-0107,GRT-2023-001,PRJ-2023-002,BDL-0016,ACT-0009,FP-2025-11,3617.92,3617.92,USD,1,,,,
BGA-0108,GRT-2023-001,PRJ-2023-002,BDL-0016,ACT-0008,FP-2025-12,3691.04,3691.04,USD,1,,,,
BGA-0109,GRT-2023-001,PRJ-2023-002,BDL-0001,ACT-0009,FP-2025-01,1963.23,1963.23,USD,1,,,,
BGA-0110,GRT-2023-001,PRJ-2023-002,BDL-0001,ACT-0006,FP-2025-02,2050.29,2050.29,USD,1,,,,
BGA-0111,GRT-2023-001,PRJ-2023-002,BDL-0001,ACT-0009,FP-2025-03,1792.65,1792.65,USD,1,,,,
BGA-0112,GRT-2023-001,PRJ-2023-002,BDL-0001,ACT-0006,FP-2025-04,2737.9,2737.9,USD,1,,,,
BGA-0113,GRT-2023-001,PRJ-2023-002,BDL-0001,ACT-0007,FP-2025-05,2751.9,2751.9,USD,1,,,,
BGA-0114,GRT-2023-001,PRJ-2023-002,BDL-0001,ACT-0007,FP-2025-06,2883.82,2883.82,USD,1,,,,
BGA-0115,GRT-2023-001,PRJ-2023-002,BDL-0001,ACT-0009,FP-2025-07,3057.01,3057.01,USD,1,,,,
BGA-0116,GRT-2023-001,PRJ-2023-002,BDL-0001,ACT-0006,FP-2025-08,2601.1,2601.1,USD,1,,,,
BGA-0117,GRT-2023-001,PRJ-2023-002,BDL-0001,ACT-0007,FP-2025-09,3115.55,3115.55,USD,1,,,,
BGA-0118,GRT-2023-001,PRJ-2023-002,BDL-0001,ACT-0007,FP-2025-10,1528.17,1528.17,USD,1,,,,
BGA-0119,GRT-2023-001,PRJ-2023-002,BDL-0001,ACT-0009,FP-2025-11,1826.41,1826.41,USD,1,,,,
BGA-0120,GRT-2023-001,PRJ-2023-002,BDL-0001,ACT-0006,FP-2025-12,2174.48,2174.48,USD,1,,,,
BGA-0121,GRT-2022-003,PRJ-2023-003,BDL-0046,ACT-0011,FP-2025-01,1387.75,1387.75,USD,1,,,,
BGA-0122,GRT-2022-003,PRJ-2023-003,BDL-0046,ACT-0014,FP-2025-02,1377.28,1377.28,USD,1,,,,
BGA-0123,GRT-2022-003,PRJ-2023-003,BDL-0046,ACT-0012,FP-2025-03,1318.27,1318.27,USD,1,,,,
BGA-0124,GRT-2022-003,PRJ-2023-003,BDL-0046,ACT-0011,FP-2025-04,2046.1,2046.1,USD,1,,,,
BGA-0125,GRT-2022-003,PRJ-2023-003,BDL-0046,ACT-0012,FP-2025-05,1786.57,1786.57,USD,1,,,,
BGA-0126,GRT-2022-003,PRJ-2023-003,BDL-0046,ACT-0013,FP-2025-06,2172.39,2172.39,USD,1,,,,
BGA-0127,GRT-2022-003,PRJ-2023-003,BDL-0046,ACT-0012,FP-2025-07,2075.87,2075.87,USD,1,,,,
BGA-0128,GRT-2022-003,PRJ-2023-003,BDL-0046,ACT-0014,FP-2025-08,2049.66,2049.66,USD,1,,,,
BGA-0129,GRT-2022-003,PRJ-2023-003,BDL-0046,ACT-0012,FP-2025-09,2132.0,2132.0,USD,1,,,,
BGA-0130,GRT-2022-003,PRJ-2023-003,BDL-0046,ACT-0012,FP-2025-10,1654.42,1654.42,USD,1,,,,
BGA-0131,GRT-2022-003,PRJ-2023-003,BDL-0046,ACT-0010,FP-2025-11,1143.45,1143.45,USD,1,,,,
BGA-0132,GRT-2022-003,PRJ-2023-003,BDL-0046,ACT-0012,FP-2025-12,1313.84,1313.84,USD,1,,,,
BGA-0133,GRT-2022-003,PRJ-2023-003,BDL-0058,ACT-0014,FP-2025-01,2797.01,2797.01,USD,1,,,,
BGA-0134,GRT-2022-003,PRJ-2023-003,BDL-0058,ACT-0012,FP-2025-02,2312.2,2312.2,USD,1,,,,
BGA-0135,GRT-2022-003,PRJ-2023-003,BDL-0058,ACT-0014,FP-2025-03,2175.92,2175.92,USD,1,,,,
BGA-0136,GRT-2022-003,PRJ-2023-003,BDL-0058,ACT-0014,FP-2025-04,3191.68,3052.58,USD,2,VIR-2025-015,STF-001,2025-01-26,Quarterly reallocation
BGA-0137,GRT-2022-003,PRJ-2023-003,BDL-0058,ACT-0010,FP-2025-05,3439.71,3439.71,USD,1,,,,
BGA-0138,GRT-2022-003,PRJ-2023-003,BDL-0058,ACT-0014,FP-2025-06,3821.54,3821.54,USD,1,,,,
BGA-0139,GRT-2022-003,PRJ-2023-003,BDL-0058,ACT-0013,FP-2025-07,4850.81,4850.81,USD,1,,,,
BGA-0140,GRT-2022-003,PRJ-2023-003,BDL-0058,ACT-0012,FP-2025-08,4035.59,4035.59,USD,1,,,,
BGA-0141,GRT-2022-003,PRJ-2023-003,BDL-0058,ACT-0010,FP-2025-09,3781.02,3781.02,USD,1,,,,
BGA-0142,GRT-2022-003,PRJ-2023-003,BDL-0058,ACT-0010,FP-2025-10,2700.25,2700.25,USD,1,,,,
BGA-0143,GRT-2022-003,PRJ-2023-003,BDL-0058,ACT-0011,FP-2025-11,2965.9,2965.9,USD,1,,,,
BGA-0144,GRT-2022-003,PRJ-2023-003,BDL-0058,ACT-0013,FP-2025-12,2986.97,3276.68,USD,2,VIR-2025-012,STF-003,2025-08-12,Quarterly reallocation
BGA-0145,GRT-2022-003,PRJ-2023-003,BDL-0048,ACT-0010,FP-2025-01,4011.63,4011.63,USD,1,,,,
BGA-0146,GRT-2022-003,PRJ-2023-003,BDL-0048,ACT-0012,FP-2025-02,3151.12,3151.12,USD,1,,,,
BGA-0147,GRT-2022-003,PRJ-2023-003,BDL-0048,ACT-0014,FP-2025-03,3132.15,3132.15,USD,1,,,,
BGA-0148,GRT-2022-003,PRJ-2023-003,BDL-0048,ACT-0011,FP-2025-04,4845.21,4845.21,USD,1,,,,
BGA-0149,GRT-2022-003,PRJ-2023-003,BDL-0048,ACT-0011,FP-2025-05,5472.36,5472.36,USD,1,,,,
BGA-0150,GRT-2022-003,PRJ-2023-003,BDL-0048,ACT-0013,FP-2025-06,5391.27,5391.27,USD,1,,,,
BGA-0151,GRT-2022-003,PRJ-2023-003,BDL-0048,ACT-0010,FP-2025-07,5809.32,5809.32,USD,1,,,,
BGA-0152,GRT-2022-003,PRJ-2023-003,BDL-0048,ACT-0014,FP-2025-08,6003.08,6003.08,USD,1,,,,
BGA-0153,GRT-2022-003,PRJ-2023-003,BDL-0048,ACT-0014,FP-2025-09,5866.6,5866.6,USD,1,,,,
BGA-0154,GRT-2022-003,PRJ-2023-003,BDL-0048,ACT-0013,FP-2025-10,3915.8,3915.8,USD,1,,,,
BGA-0155,GRT-2022-003,PRJ-2023-003,BDL-0048,ACT-0010,FP-2025-11,3448.47,3262.93,USD,2,VIR-2025-009,STF-002,2025-03-24,Quarterly reallocation
BGA-0156,GRT-2022-003,PRJ-2023-003,BDL-0048,ACT-0013,FP-2025-12,4025.04,3859.53,USD,2,VIR-2025-049,STF-002,2025-03-26,Quarterly reallocation
BGA-0157,GRT-2022-003,PRJ-2023-003,BDL-0052,ACT-0010,FP-2025-01,3247.75,3247.75,USD,1,,,,
BGA-0158,GRT-2022-003,PRJ-2023-003,BDL-0052,ACT-0011,FP-2025-02,3190.76,3190.76,USD,1,,,,
BGA-0159,GRT-2022-003,PRJ-2023-003,BDL-0052,ACT-0012,FP-2025-03,2909.4,2909.4,USD,1,,,,
BGA-0160,GRT-2022-003,PRJ-2023-003,BDL-0052,ACT-0012,FP-2025-04,4265.92,4265.92,USD,1,,,,
BGA-0161,GRT-2022-003,PRJ-2023-003,BDL-0052,ACT-0012,FP-2025-05,5313.92,5313.92,USD,1,,,,
BGA-0162,GRT-2022-003,PRJ-2023-003,BDL-0052,ACT-0011,FP-2025-06,4676.43,4676.43,USD,1,,,,
BGA-0163,GRT-2022-003,PRJ-2023-003,BDL-0052,ACT-0014,FP-2025-07,5594.24,5594.24,USD,1,,,,
BGA-0164,GRT-2022-003,PRJ-2023-003,BDL-0052,ACT-0013,FP-2025-08,5358.21,5358.21,USD,1,,,,
BGA-0165,GRT-2022-003,PRJ-2023-003,BDL-0052,ACT-0011,FP-2025-09,6224.43,6224.43,USD,1,,,,
BGA-0166,GRT-2022-003,PRJ-2023-003,BDL-0052,ACT-0014,FP-2025-10,3896.63,3896.63,USD,1,,,,
BGA-0167,GRT-2022-003,PRJ-2023-003,BDL-0052,ACT-0013,FP-2025-11,4053.63,4183.52,USD,2,VIR-2025-024,STF-001,2025-08-23,Quarterly reallocation
BGA-0168,GRT-2022-003,PRJ-2023-003,BDL-0052,ACT-0014,FP-2025-12,3617.72,4072.55,USD,2,VIR-2025-013,STF-003,2025-05-18,Quarterly reallocation
BGA-0169,GRT-2022-003,PRJ-2023-003,BDL-0057,ACT-0014,FP-2025-01,1829.21,1829.21,USD,1,,,,
BGA-0170,GRT-2022-003,PRJ-2023-003,BDL-0057,ACT-0014,FP-2025-02,2077.65,2077.65,USD,1,,,,
BGA-0171,GRT-2022-003,PRJ-2023-003,BDL-0057,ACT-0013,FP-2025-03,2117.63,2117.63,USD,1,,,,
BGA-0172,GRT-2022-003,PRJ-2023-003,BDL-0057,ACT-0014,FP-2025-04,3345.7,3345.7,USD,1,,,,
BGA-0173,GRT-2022-003,PRJ-2023-003,BDL-0057,ACT-0014,FP-2025-05,2877.24,2877.24,USD,1,,,,
BGA-0174,GRT-2022-003,PRJ-2023-003,BDL-0057,ACT-0010,FP-2025-06,2933.17,2933.17,USD,1,,,,
BGA-0175,GRT-2022-003,PRJ-2023-003,BDL-0057,ACT-0011,FP-2025-07,3261.76,3261.76,USD,1,,,,
BGA-0176,GRT-2022-003,PRJ-2023-003,BDL-0057,ACT-0012,FP-2025-08,3510.03,3773.62,USD,2,VIR-2025-035,STF-001,2025-08-28,Quarterly reallocation
BGA-0177,GRT-2022-003,PRJ-2023-003,BDL-0057,ACT-0013,FP-2025-09,3940.09,3940.09,USD,1,,,,
BGA-0178,GRT-2022-003,PRJ-2023-003,BDL-0057,ACT-0011,FP-2025-10,1728.71,1728.71,USD,1,,,,
BGA-0179,GRT-2022-003,PRJ-2023-003,BDL-0057,ACT-0013,FP-2025-11,2353.32,2353.32,USD,1,,,,
BGA-0180,GRT-2022-003,PRJ-2023-003,BDL-0057,ACT-0013,FP-2025-12,2020.32,2020.32,USD,1,,,,
BGA-0181,GRT-2023-002,PRJ-2023-004,BDL-0034,ACT-0016,FP-2025-01,467.25,467.25,USD,1,,,,
BGA-0182,GRT-2023-002,PRJ-2023-004,BDL-0034,ACT-0015,FP-2025-02,557.72,557.72,USD,1,,,,
BGA-0183,GRT-2023-002,PRJ-2023-004,BDL-0034,ACT-0016,FP-2025-03,625.21,625.21,USD,1,,,,
BGA-0184,GRT-2023-002,PRJ-2023-004,BDL-0034,ACT-0016,FP-2025-04,760.48,760.48,USD,1,,,,
BGA-0185,GRT-2023-002,PRJ-2023-004,BDL-0034,ACT-0015,FP-2025-05,781.77,781.77,USD,1,,,,
BGA-0186,GRT-2023-002,PRJ-2023-004,BDL-0034,ACT-0015,FP-2025-06,759.75,759.75,USD,1,,,,
BGA-0187,GRT-2023-002,PRJ-2023-004,BDL-0034,ACT-0015,FP-2025-07,1036.53,1036.53,USD,1,,,,
BGA-0188,GRT-2023-002,PRJ-2023-004,BDL-0034,ACT-0017,FP-2025-08,717.11,717.11,USD,1,,,,
BGA-0189,GRT-2023-002,PRJ-2023-004,BDL-0034,ACT-0015,FP-2025-09,976.06,976.06,USD,1,,,,
BGA-0190,GRT-2023-002,PRJ-2023-004,BDL-0034,ACT-0017,FP-2025-10,494.17,448.9,USD,2,VIR-2025-039,STF-003,2025-06-30,Quarterly reallocation
BGA-0191,GRT-2023-002,PRJ-2023-004,BDL-0034,ACT-0015,FP-2025-11,633.45,633.45,USD,1,,,,
BGA-0192,GRT-2023-002,PRJ-2023-004,BDL-0034,ACT-0015,FP-2025-12,529.81,529.81,USD,1,,,,
BGA-0193,GRT-2023-002,PRJ-2023-004,BDL-0041,ACT-0015,FP-2025-01,1035.94,1035.94,USD,1,,,,
BGA-0194,GRT-2023-002,PRJ-2023-004,BDL-0041,ACT-0017,FP-2025-02,941.73,941.73,USD,1,,,,
BGA-0195,GRT-2023-002,PRJ-2023-004,BDL-0041,ACT-0017,FP-2025-03,968.89,968.89,USD,1,,,,
BGA-0196,GRT-2023-002,PRJ-2023-004,BDL-0041,ACT-0015,FP-2025-04,1484.01,1484.01,USD,1,,,,
BGA-0197,GRT-2023-002,PRJ-2023-004,BDL-0041,ACT-0016,FP-2025-05,1572.11,1572.11,USD,1,,,,
BGA-0198,GRT-2023-002,PRJ-2023-004,BDL-0041,ACT-0017,FP-2025-06,1211.32,1356.59,USD,2,VIR-2025-012,STF-003,2025-06-23,Quarterly reallocation
BGA-0199,GRT-2023-002,PRJ-2023-004,BDL-0041,ACT-0016,FP-2025-07,1460.61,1460.61,USD,1,,,,
