expenditure_id,grant_id,project_id,activity_id,budget_line_id,account_id,cost_centre_id,location_id,period_id,transaction_date,transaction_type,vendor_id,staff_id,procurement_id,description,amount_original,original_currency,exchange_rate,amount_usd,amount_grant_currency,authorised_by,posted_by,posted_date,document_reference,payment_method,payment_reference,is_reversal,reversal_reference,notes
EXP-2025-00015,GRT-2024-004,PRJ-2024-006,ACT-0065,BDL-0226,ACC-5101,CC-PRG-CLR,LOC-MAN-002,FP-2025-01,2025-01-06,Domestic Travel,,STF-085,,Domestic Travel - PRJ-2024-006 - Jan 2025,171000.0,TZS,2479.98,68.95,68.95,STF-007,STF-004,2025-01-10,INV-5854-2025-0015,Cheque,CHQ-80181,False,,
EXP-2025-00016,GRT-2023-004,PRJ-2023-008,ACT-0032,BDL-0110,ACC-5403,CC-PRG-CLR,LOC-MAN-002,FP-2025-01,2025-01-05,Communication,,,,Communication - PRJ-2023-008 - Jan 2025,122000.0,TZS,2451.31,49.77,49.77,STF-007,STF-002,2025-01-07,INV-6204-2025-0016,Cheque,CHQ-21255,False,,
EXP-2025-00017,GRT-2023-003,PRJ-2023-006,ACT-0024,BDL-0069,ACC-5002,CC-PRG-WEE,LOC-KIL-001,FP-2025-01,2025-01-03,Salary Payment,,STF-031,,,4077000.0,TZS,2535.99,1607.66,1607.66,STF-005,STF-002,2025-01-08,INV-4125-2025-0017,Bank Transfer,TRF-20250103-0017,False,,
EXP-2025-00018,GRT-2023-005,PRJ-2023-010,ACT-0056,BDL-0141,ACC-5203,CC-PRG-HLT,LOC-KIL-001,FP-2025-01,2025-01-02,Facilitator Fee,,STF-057,,Facilitator Fee - PRJ-2023-010 - Jan 2025,536000.0,TZS,2519.0,212.78,212.78,STF-005,STF-004,2025-01-07,,Cheque,CHQ-32971,False,,
EXP-2025-00019,GRT-2023-002,PRJ-2023-004,ACT-0017,BDL-0023,ACC-5401,CC-PRG-EDU,LOC-ARU-002,FP-2025-01,2025-01-22,Office Rent,VND-0135,,PRC-2025-0772,Office Rent - PRJ-2023-004 - Jan 2025,27818000.0,TZS,2456.02,11326.45,11326.45,STF-002,STF-006,2025-01-24,INV-7260-2025-0019,Cash,,False,,
EXP-2025-00020,GRT-2023-003,PRJ-2023-006,ACT-0021,BDL-0070,ACC-5203,CC-PRG-WEE,LOC-KIL-001,FP-2025-01,2025-01-19,Facilitator Fee,,STF-048,,Facilitator Fee - PRJ-2023-006 - Jan 2025,602000.0,TZS,2456.79,245.04,245.04,STF-002,STF-003,2025-01-24,INV-3083-2025-0020,Bank Transfer,TRF-20250119-0020,False,,
EXP-2025-00021,GRT-2024-001,PRJ-2024-007,ACT-0076,BDL-0087,ACC-5303,CC-PRG-AGR,LOC-ARU-002,FP-2025-01,2025-01-10,ICT Equipment,VND-0051,,PRC-2025-0705,ICT Equipment - PRJ-2024-007 - Jan 2025,4228000.0,TZS,2504.44,1688.2,1688.2,STF-010,STF-004,2025-01-12,INV-2389-2025-0021,Cheque,CHQ-23090,False,,
EXP-2025-00022,GRT-2022-004,PRJ-2023-005,ACT-0019,BDL-0119,ACC-5404,CC-PRG-EDU,LOC-KIL-001,FP-2025-01,2025-01-06,M&E Activities,,,,M&E Activities - PRJ-2023-005 - Jan 2025,702000.0,TZS,2539.44,276.44,276.44,STF-006,STF-002,2025-01-11,INV-9850-2025-0022,Bank Transfer,TRF-20250106-0022,False,,
EXP-2025-00023,GRT-2024-001,PRJ-2024-001,ACT-0041,BDL-0086,ACC-5003,CC-PRG-AGR,LOC-MAN-001,FP-2025-01,2025-01-20,Consultancy Fee,VND-0028,,PRC-2025-0857,Consultancy Fee - PRJ-2024-001 - Jan 2025,1471000.0,TZS,2461.88,597.51,597.51,STF-005,STF-002,2025-01-21,INV-2867-2025-0023,Bank Transfer,TRF-20250120-0023,False,,
EXP-2025-00024,GRT-2024-001,PRJ-2024-001,ACT-0039,BDL-0099,ACC-5001,CC-PRG-AGR,LOC-MAN-001,FP-2025-01,2025-01-05,Salary Payment,,STF-083,,Salary Payment - PRJ-2024-001 - Jan 2025,2135000.0,TZS,2518.82,847.62,847.62,STF-007,STF-004,2025-01-07,INV-1419-2025-0024,Bank Transfer,TRF-20250105-0024,False,,
EXP-2025-00025,GRT-2024-001,PRJ-2024-007,ACT-0074,BDL-0097,ACC-5305,CC-PRG-AGR,LOC-ARU-002,FP-2025-01,2025-01-24,Office Supplies,VND-0087,,,Office Supplies - PRJ-2024-007 - Jan 2025,178000.0,TZS,2491.66,71.44,71.44,STF-002,STF-003,2025-01-28,INV-8607-2025-0025,Bank Transfer,TRF-20250124-0025,False,,
EXP-2025-00026,GRT-2023-003,PRJ-2023-013,ACT-0077,BDL-0069,ACC-5101,CC-PRG-HLT,LOC-ARU-001,FP-2025-01,2025-01-05,Domestic Travel,,STF-042,,Domestic Travel - PRJ-2023-013 - Jan 2025,164000.0,TZS,2537.76,64.62,64.62,STF-004,STF-002,2025-01-09,INV-6070-2025-0026,Cheque,CHQ-95015,False,,
EXP-2025-00027,GRT-2023-002,PRJ-2023-012,ACT-0073,BDL-0039,ACC-5404,CC-PRG-EDU,LOC-ARU-001,FP-2025-01,2025-01-19,M&E Activities,,,,M&E Activities - PRJ-2023-012 - Jan 2025,1164000.0,TZS,2470.12,471.23,471.23,STF-005,STF-002,2025-01-21,INV-3235-2025-0027,Bank Transfer,TRF-20250119-0027,False,,
EXP-2025-00028,GRT-2024-002,PRJ-2024-004,ACT-0052,BDL-0167,ACC-5405,CC-PRG-CHP,LOC-MAN-004,FP-2025-01,2025-01-11,Community Outreach,,,,Community Outreach - PRJ-2024-004 - Jan 2025,592000.0,TZS,2537.63,233.29,233.29,STF-001,STF-005,2025-01-12,INV-3129-2025-0028,Bank Transfer,TRF-20250111-0028,False,,
EXP-2025-00029,GRT-2024-001,PRJ-2024-001,ACT-0041,BDL-0088,ACC-5003,CC-PRG-AGR,LOC-MAN-001,FP-2025-01,2025-01-22,Consultancy Fee,VND-0119,,,Consultancy Fee - PRJ-2024-001 - Jan 2025,1066000.0,TZS,2483.12,429.3,429.3,STF-009,STF-002,2025-01-25,INV-2574-2025-0029,Bank Transfer,TRF-20250122-0029,False,,
EXP-2025-00030,GRT-2023-004,PRJ-2023-008,ACT-0033,BDL-0108,ACC-5203,CC-PRG-CLR,LOC-MAN-002,FP-2025-01,2025-01-20,Facilitator Fee,,STF-082,,Facilitator Fee - PRJ-2023-008 - Jan 2025,315000.0,TZS,2465.21,127.78,127.78,STF-003,STF-002,2025-01-25,INV-8433-2025-0030,Bank Transfer,TRF-20250120-0030,False,,
EXP-2025-00031,GRT-2024-001,PRJ-2024-002,ACT-0042,BDL-0087,ACC-5305,CC-PRG-AGR,LOC-KIL-004,FP-2025-01,2025-01-07,Office Supplies,VND-0073,,PRC-2025-1468,Office Supplies - PRJ-2024-002 - Jan 2025,87000.0,TZS,2478.1,35.11,35.11,STF-010,STF-004,2025-01-08,INV-6973-2025-0031,Cash,CHQ-56721,False,,
EXP-2025-00032,GRT-2023-004,PRJ-2023-009,ACT-0037,BDL-0109,ACC-5103,CC-PRG-CLR,LOC-MAN-003,FP-2025-01,2025-01-11,Vehicle Fuel,,,,Vehicle Fuel - PRJ-2023-009 - Jan 2025,678000.0,TZS,2490.18,272.27,272.27,STF-008,STF-006,2025-01-14,INV-2423-2025-0032,Bank Transfer,TRF-20250111-0032,False,,
EXP-2025-00033,GRT-2024-001,PRJ-2024-007,ACT-0074,BDL-0091,ACC-5201,CC-PRG-AGR,LOC-ARU-002,FP-2025-01,2025-01-19,Training Venue,VND-0092,,,Training Venue - PRJ-2024-007 - Jan 2025,2155000.0,TZS,2523.39,854.01,854.01,STF-006,STF-002,2025-01-24,INV-7722-2025-0033,Mobile Money,CHQ-30353,False,,
EXP-2025-00034,GRT-2024-001,PRJ-2024-001,ACT-0040,BDL-0095,ACC-5003,CC-PRG-AGR,LOC-MAN-001,FP-2025-01,2025-01-06,Consultancy Fee,VND-0141,,PRC-2025-1378,Consultancy Fee - PRJ-2024-001 - Jan 2025,2263000.0,TZS,2523.74,896.69,896.69,STF-010,STF-004,2025-01-10,INV-3634-2025-0034,Bank Transfer,TRF-20250106-0034,False,,
EXP-2025-00035,GRT-2023-003,PRJ-2023-006,ACT-0021,BDL-0064,ACC-5402,CC-PRG-WEE,LOC-KIL-001,FP-2025-01,2025-01-27,Utilities,,,,Utilities - PRJ-2023-006 - Jan 2025,639000.0,TZS,2490.57,256.57,256.57,STF-004,STF-003,2025-01-30,,Cheque,CHQ-92433,False,,
EXP-2025-00036,GRT-2024-001,PRJ-2024-007,ACT-0075,BDL-0085,ACC-5401,CC-PRG-AGR,LOC-ARU-002,FP-2025-01,2025-01-21,Office Rent,VND-0100,,,Office Rent - PRJ-2024-007 - Jan 2025,2197000.0,TZS,2542.07,864.26,864.26,STF-008,STF-003,2025-01-24,INV-7608-2025-0036,Bank Transfer,TRF-20250121-0036,False,,
EXP-2025-00037,GRT-2023-003,PRJ-2023-013,ACT-0078,BDL-0077,ACC-5401,CC-PRG-HLT,LOC-ARU-001,FP-2025-01,2025-01-15,Office Rent,VND-0074,,,Office Rent - PRJ-2023-013 - Jan 2025,2180000.0,TZS,2527.01,862.68,862.68,STF-008,STF-005,2025-01-18,INV-7936-2025-0037,Bank Transfer,TRF-20250115-0037,False,,
EXP-2025-00038,GRT-2023-001,PRJ-2023-001,ACT-0002,BDL-0007,ACC-5401,CC-PRG-HLT,LOC-KIL-001,FP-2025-01,2025-01-04,Office Rent,VND-0023,,,Office Rent - PRJ-2023-001 - Jan 2025,1408000.0,TZS,2456.12,573.26,573.26,STF-007,STF-003,2025-01-06,INV-4694-2025-0038,Cash,CHQ-70238,False,,
EXP-2025-00039,GRT-2024-001,PRJ-2024-001,ACT-0041,BDL-0089,ACC-5201,CC-PRG-AGR,LOC-MAN-001,FP-2025-01,2025-01-06,Training Venue,VND-0146,,,Training Venue - PRJ-2024-001 - Jan 2025,1432000.0,TZS,2472.68,579.13,579.13,STF-001,STF-002,2025-01-07,INV-5746-2025-0039,Mobile Money,CHQ-68193,False,,
EXP-2025-00040,GRT-2023-001,PRJ-2023-011,ACT-0064,BDL-0014,ACC-5401,CC-PRG-HLT,LOC-MAN-001,FP-2025-01,2025-01-24,Office Rent,VND-0092,,PRC-2025-2244,Office Rent - PRJ-2023-011 - Jan 2025,2113000.0,TZS,2454.02,861.04,861.04,STF-005,STF-006,2025-01-29,INV-2635-2025-0040,Bank Transfer,TRF-20250124-0040,False,,
EXP-2025-00041,GRT-2023-001,PRJ-2023-002,ACT-0006,BDL-0013,ACC-5405,CC-PRG-HLT,LOC-KIL-002,FP-2025-01,2025-01-28,Community Outreach,,,,Community Outreach - PRJ-2023-002 - Jan 2025,735000.0,TZS,2504.34,293.49,293.49,STF-007,STF-002,2025-01-30,INV-9569-2025-0041,Bank Transfer,TRF-20250128-0041,False,,
EXP-2025-00042,GRT-2024-002,PRJ-2024-004,ACT-0051,BDL-0159,ACC-5103,CC-PRG-CHP,LOC-MAN-004,FP-2025-01,2025-01-16,Vehicle Fuel,,,,Vehicle Fuel - PRJ-2024-004 - Jan 2025,526000.0,TZS,2460.83,213.75,213.75,STF-007,STF-005,2025-01-20,INV-3322-2025-0042,Bank Transfer,TRF-20250116-0042,False,,
EXP-2025-00043,GRT-2023-004,PRJ-2023-008,ACT-0034,BDL-0101,ACC-5002,CC-PRG-CLR,LOC-MAN-002,FP-2025-01,2025-01-16,Salary Payment,,STF-097,,Salary Payment - PRJ-2023-008 - Jan 2025,5829000.0,TZS,2467.94,2361.89,2361.89,STF-008,STF-005,2025-01-20,INV-4199-2025-0043,Bank Transfer,TRF-20250116-0043,False,,
EXP-2025-00044,GRT-2024-002,PRJ-2024-003,ACT-0048,BDL-0169,ACC-5101,CC-PRG-CHP,LOC-ARU-003,FP-2025-01,2025-01-13,Domestic Travel,,STF-015,,Domestic Travel - PRJ-2024-003 - Jan 2025,234000.0,TZS,2554.13,91.62,91.62,STF-006,STF-005,2025-01-15,INV-3083-2025-0044,Bank Transfer,TRF-20250113-0044,False,,
EXP-2025-00045,GRT-2023-004,PRJ-2023-009,ACT-0037,BDL-0108,ACC-5003,CC-PRG-CLR,LOC-MAN-003,FP-2025-01,2025-01-06,Consultancy Fee,VND-0116,,,Consultancy Fee - PRJ-2023-009 - Jan 2025,1411000.0,TZS,2460.6,573.44,573.44,STF-008,STF-006,2025-01-07,,Bank Transfer,TRF-20250106-0045,False,,
EXP-2025-00046,GRT-2023-002,PRJ-2023-012,ACT-0073,BDL-0028,ACC-5001,CC-PRG-EDU,LOC-ARU-001,FP-2025-01,2025-01-24,Salary Payment,,STF-015,,Salary Payment - PRJ-2023-012 - Jan 2025,2330000.0,TZS,2488.58,936.28,936.28,STF-006,STF-002,2025-01-29,INV-4166-2025-0046,Cash,,False,,
EXP-2025-00047,GRT-2023-002,PRJ-2023-012,ACT-0072,BDL-0039,ACC-5002,CC-PRG-EDU,LOC-ARU-001,FP-2025-01,2025-01-20,Salary Payment,,STF-071,,,4493000.0,TZS,2554.53,1758.84,1758.84,STF-010,STF-005,2025-01-23,INV-2416-2025-0047,Mobile Money,CHQ-64616,False,,
EXP-2025-00048,GRT-2024-004,PRJ-2024-006,ACT-0065,BDL-0216,ACC-5301,CC-PRG-CLR,LOC-MAN-002,FP-2025-01,2025-01-30,Medical Supplies,VND-0106,,,Medical Supplies - PRJ-2024-006 - Jan 2025,296000.0,TZS,2458.18,120.41,120.41,STF-006,STF-003,2025-02-04,INV-2600-2025-0048,Bank Transfer,TRF-20250130-0048,False,,
EXP-2025-00049,GRT-2023-005,PRJ-2023-010,ACT-0054,BDL-0149,ACC-5302,CC-PRG-HLT,LOC-KIL-001,FP-2025-01,2025-01-30,Agricultural Inputs,,,,Agricultural Inputs - PRJ-2023-010 - Jan 2025,1195000.0,TZS,2450.67,487.62,487.62,STF-008,STF-004,2025-02-04,INV-8839-2025-0049,Bank Transfer,TRF-20250130-0049,False,,
EXP-2025-00050,GRT-2023-004,PRJ-2023-009,ACT-0035,BDL-0101,ACC-5302,CC-PRG-CLR,LOC-MAN-003,FP-2025-01,2025-01-27,Agricultural Inputs,,,,Agricultural Inputs - PRJ-2023-009 - Jan 2025,1164000.0,TZS,2473.71,470.55,470.55,STF-005,STF-004,2025-01-30,INV-3331-2025-0050,Bank Transfer,TRF-20250127-0050,False,,
EXP-2025-00051,GRT-2023-002,PRJ-2023-012,ACT-0069,BDL-0041,ACC-5303,CC-PRG-EDU,LOC-ARU-001,FP-2025-01,2025-01-21,ICT Equipment,VND-0016,,,ICT Equipment - PRJ-2023-012 - Jan 2025,3980000.0,TZS,2555.77,1557.26,1557.26,STF-008,STF-006,2025-01-23,INV-6281-2025-0051,Bank Transfer,TRF-20250121-0051,False,,
EXP-2025-00052,GRT-2024-001,PRJ-2024-001,ACT-0041,BDL-0095,ACC-5203,CC-PRG-AGR,LOC-MAN-001,FP-2025-01,2025-01-17,Facilitator Fee,,STF-118,,Facilitator Fee - PRJ-2024-001 - Jan 2025,461000.0,TZS,2459.22,187.46,187.46,STF-004,STF-006,2025-01-20,INV-8134-2025-0052,Cheque,CHQ-67391,False,,
EXP-2025-00053,GRT-2024-002,PRJ-2024-004,ACT-0052,BDL-0161,ACC-5303,CC-PRG-CHP,LOC-MAN-004,FP-2025-01,2025-01-02,ICT Equipment,VND-0032,,PRC-2025-0993,ICT Equipment - PRJ-2024-004 - Jan 2025,2455000.0,TZS,2486.22,987.44,987.44,STF-002,STF-003,2025-01-05,INV-8019-2025-0053,Mobile Money,CHQ-36772,False,,
EXP-2025-00054,GRT-2021-001,PRJ-2023-007,ACT-0029,BDL-0201,ACC-5003,CC-PRG-WEE,LOC-ARU-001,FP-2025-01,2025-01-11,Consultancy Fee,VND-0135,,PRC-2025-0283,Consultancy Fee - PRJ-2023-007 - Jan 2025,2049000.0,TZS,2484.11,824.84,824.84,STF-009,STF-005,2025-01-12,INV-1042-2025-0054,Cheque,CHQ-93877,False,,
EXP-2025-00055,GRT-2022-004,PRJ-2023-005,ACT-0019,BDL-0130,ACC-5302,CC-PRG-EDU,LOC-KIL-001,FP-2025-01,29-Jan-2025,Agricultural Inputs,,,,Agricultural Inputs - PRJ-2023-005 - Jan 2025,1214000.0,TZS,2463.11,492.87,492.87,STF-010,STF-005,2025-01-30,INV-8707-2025-0055,Bank Transfer,TRF-20250129-0055,False,,
EXP-2025-00056,GRT-2023-002,PRJ-2023-012,ACT-0072,BDL-0035,ACC-5302,CC-PRG-EDU,LOC-ARU-001,FP-2025-01,2025-01-26,Agricultural Inputs,,,,Agricultural Inputs - PRJ-2023-012 - Jan 2025,455000.0,TZS,2514.47,180.95,180.95,STF-006,STF-005,2025-01-28,INV-9074-2025-0056,Cheque,CHQ-46406,False,,
EXP-2025-00057,GRT-2023-004,PRJ-2023-008,ACT-0034,BDL-0100,ACC-5003,CC-PRG-CLR,LOC-MAN-002,FP-2025-01,08/01/2025,Consultancy Fee,VND-0045,,PRC-2025-0089,Consultancy Fee - PRJ-2023-008 - Jan 2025,535000.0,TZS,2473.44,216.3,216.3,STF-007,STF-006,2025-01-09,INV-8000-2025-0057,Cheque,CHQ-62307,False,,
EXP-2025-00058,GRT-2021-001,PRJ-2023-007,ACT-0027,BDL-0190,ACC-5301,CC-PRG-WEE,LOC-ARU-001,FP-2025-01,2025-01-24,Medical Supplies,VND-0094,,,Medical Supplies - PRJ-2023-007 - Jan 2025,2719000.0,TZS,2530.34,1074.56,1074.56,STF-009,STF-006,2025-01-26,INV-6408-2025-0058,Mobile Money,CHQ-27909,False,,
EXP-2025-00059,GRT-2024-001,PRJ-2024-007,ACT-0074,BDL-0085,ACC-5302,CC-PRG-AGR,LOC-ARU-002,FP-2025-01,2025-01-12,Agricultural Inputs,,,,Agricultural Inputs - PRJ-2024-007 - Jan 2025,1201000.0,TZS,2508.09,478.85,478.85,STF-007,STF-006,2025-01-14,INV-5331-2025-0059,Cheque,CHQ-35436,False,,
EXP-2025-00060,GRT-2023-003,PRJ-2023-013,ACT-0077,BDL-0062,ACC-5404,CC-PRG-HLT,LOC-ARU-001,FP-2025-01,2025-01-31,M&E Activities,,,,,409000.0,TZS,2499.83,163.61,163.61,STF-003,STF-004,2025-02-04,INV-5403-2025-0060,Cash,CHQ-48094,False,,
EXP-2025-00061,GRT-2023-001,PRJ-2023-001,ACT-0003,BDL-0009,ACC-5305,CC-PRG-HLT,LOC-KIL-001,FP-2025-01,2025-01-17,Office Supplies,VND-0150,,,Office Supplies - PRJ-2023-001 - Jan 2025,64000.0,TZS,2554.53,25.05,25.05,STF-008,STF-006,2025-01-20,INV-5366-2025-0061,Cheque,,False,,
EXP-2025-00062,GRT-2024-004,PRJ-2024-006,ACT-0066,BDL-0226,ACC-5001,CC-PRG-CLR,LOC-MAN-002,FP-2025-01,2025-01-27,Salary Payment,,STF-007,,Salary Payment - PRJ-2024-006 - Jan 2025,3217000.0,TZS,2550.14,1261.5,1261.5,STF-010,STF-006,2025-01-30,INV-8679-2025-0062,Bank Transfer,TRF-20250127-0062,False,,
EXP-2025-00063,GRT-2024-002,PRJ-2024-004,ACT-0049,BDL-0167,ACC-5001,CC-PRG-CHP,LOC-MAN-004,FP-2025-01,2025-01-02,Salary Payment,,STF-076,,Salary Payment - PRJ-2024-004 - Jan 2025,3182000.0,TZS,2506.62,1269.44,1269.44,STF-010,STF-004,2025-01-04,INV-7737-2025-0063,Bank Transfer,TRF-20250102-0063,False,,
EXP-2025-00064,GRT-2021-001,PRJ-2023-007,ACT-0028,BDL-0190,ACC-5202,CC-PRG-WEE,LOC-ARU-001,FP-2025-01,2025-01-26,Training Materials,,,,Training Materials - PRJ-2023-007 - Jan 2025,329000.0,TZS,2550.66,128.99,128.99,STF-008,STF-006,2025-01-27,INV-7344-2025-0064,Bank Transfer,TRF-20250126-0064,False,,
EXP-2025-00065,GRT-2024-002,PRJ-2024-003,ACT-0047,BDL-0163,ACC-5305,CC-PRG-CHP,LOC-ARU-003,FP-2025-01,2025-01-06,Office Supplies,VND-0074,,PRC-2025-0028,Office Supplies - PRJ-2024-003 - Jan 2025,147000.0,TZS,2513.84,58.48,58.48,STF-004,STF-002,2025-01-07,INV-8342-2025-0065,Bank Transfer,TRF-20250106-0065,False,,
EXP-2025-00066,GRT-2024-002,PRJ-2024-003,ACT-0047,BDL-0169,ACC-5405,CC-PRG-CHP,LOC-ARU-003,FP-2025-01,2025-01-13,Community Outreach,,,,Community Outreach - PRJ-2024-003 - Jan 2025,400000.0,TZS,2457.21,162.79,162.79,STF-008,STF-004,2025-01-14,INV-9161-2025-0066,Mobile Money,CHQ-20848,False,,
EXP-2025-00067,GRT-2023-001,PRJ-2023-001,ACT-0004,BDL-0013,ACC-5202,CC-PRG-HLT,LOC-KIL-001,FP-2025-01,2025-01-09,Training Materials,,,,Training Materials - PRJ-2023-001 - Jan 2025,314000.0,TZS,2496.51,125.78,125.78,STF-008,STF-006,2025-01-13,INV-3952-2025-0067,Bank Transfer,TRF-20250109-0067,False,,
EXP-2025-00068,GRT-2024-001,PRJ-2024-002,ACT-0045,BDL-0093,ACC-5401,CC-PRG-AGR,LOC-KIL-004,FP-2025-01,2025-01-27,Office Rent,VND-0008,,PRC-2025-0396,Office Rent - PRJ-2024-002 - Jan 2025,1512000.0,TZS,2474.08,611.14,611.14,STF-008,STF-006,2025-02-01,INV-3726-2025-0068,Bank Transfer,TRF-20250127-0068,False,,
EXP-2025-00069,GRT-2024-004,PRJ-2024-006,ACT-0065,BDL-0218,ACC-5305,CC-PRG-CLR,LOC-MAN-002,FP-2025-01,23-Jan-2025,Office Supplies,VND-0044,,,Office Supplies - PRJ-2024-006 - Jan 2025,35000.0,TZS,2502.89,13.98,13.98,STF-007,STF-002,2025-01-25,INV-1954-2025-0069,Cheque,CHQ-79883,False,,
