procurement_id,grant_id,project_id,budget_line_id,vendor_id,location_id,period_id,status_id,procurement_type,description,quantity,unit,unit_price,total_value,currency,po_date,expected_delivery,actual_delivery,grn_reference,invoice_reference,invoice_date,payment_due_date,payment_date,expenditure_id,quotations_obtained,single_source_justified,committee_approval_ref,notes
PRC-2025-0011,GRT-2023-004,PRJ-2023-008,BDL-0112,VND-0087,LOC-MAN-002,FP-2025-05,STS-009,Tender,Oral Rehydration Salts for PRJ-2023-008,139,Litres,36900.0,5129100.0,TZS,28-May-2025,2025-06-17,2025-06-24,GRN-2025-0011,INV-VND-2025-0011,2025-06-28,2025-07-28,2025-08-21,EXP-69929,7,False,PC-2025-145,
PRC-2025-0012,GRT-2023-004,PRJ-2023-008,BDL-0111,VND-0079,LOC-MAN-002,FP-2025-03,STS-010,Quotation,Training Handouts Printing for PRJ-2023-008,283,Kg,40100.0,11348300.0,TZS,2025-03-09,2025-03-24,2025-03-29,GRN-2025-0012,INV-VND-2025-0012,2025-03-30,2025-04-29,2025-04-27,EXP-45697,7,False,PC-2025-077,
PRC-2025-0013,GRT-2023-004,PRJ-2023-009,BDL-0101,VND-0118,LOC-MAN-003,FP-2025-03,STS-009,Quotation,Motorcycle Honda for PRJ-2023-009,1,Units,4231800.0,4231800.0,TZS,2025-03-13,2025-03-24,2025-03-25,GRN-2025-0013,INV-VND-2025-0013,2025-04-01,2025-05-01,2025-04-23,EXP-29410,4,False,PC-2025-142,
PRC-2025-0014,GRT-2023-005,PRJ-2023-010,BDL-0148,VND-0061,LOC-KIL-001,FP-2025-08,STS-010,Quotation,Blood Pressure Monitors for PRJ-2023-010,9,Boxes,352900.0,3176100.0,TZS,2025-08-13,2025-09-04,2025-09-09,GRN-2025-0014,INV-VND-2025-0014,2025-09-15,2025-10-15,2025-10-22,EXP-71694,4,False,,
PRC-2025-0015,GRT-2024-002,PRJ-2024-003,BDL-0170,VND-0032,LOC-ARU-003,FP-2025-02,STS-010,Quotation,Timber Planks for PRJ-2024-003,190,Kg,13900.0,2641000.0,TZS,2025-02-03,2025-02-16,2025-02-26,GRN-2025-0015,INV-VND-2025-0015,2025-03-05,2025-04-04,2025-03-26,EXP-77033,4,False,PC-2025-046,
PRC-2025-0016,GRT-2021-001,PRJ-2023-007,BDL-0201,VND-0048,LOC-ARU-001,FP-2025-07,STS-009,Tender,Indigenous Tree Seedlings for PRJ-2023-007,7766,Units,700.0,5436200.0,TZS,2025-07-01,2025-08-02,2025-08-08,GRN-2025-0016,INV-VND-2025-0016,2025-08-10,2025-09-09,2025-09-03,EXP-98777,7,False,PC-2025-080,
PRC-2025-0017,GRT-2021-001,PRJ-2023-007,BDL-0206,VND-0020,LOC-ARU-001,FP-2025-05,STS-010,Quotation,Motorcycle Honda for PRJ-2023-007,1,Kg,4629900.0,4629900.0,TZS,2025-05-15,2025-06-10,2025-06-14,GRN-2025-0017,INV-VND-2025-0017,2025-06-16,2025-07-16,05/08/2025,EXP-72277,5,False,,
PRC-2025-0018,GRT-2023-004,PRJ-2023-008,BDL-0105,VND-0125,LOC-MAN-002,FP-2025-06,STS-010,Quotation,Iron Sheets for PRJ-2023-008,93,Litres,41900.0,3896700.0,TZS,2025-06-26,2025-07-31,2025-08-13,GRN-2025-0018,INV-VND-2025-0018,2025-08-18,2025-09-17,2025-09-15,EXP-72216,3,False,PC-2025-119,
PRC-2025-0019,GRT-2023-002,PRJ-2023-012,BDL-0024,VND-0057,LOC-ARU-001,FP-2025-09,STS-007,Quotation,Paracetamol Tablets for PRJ-2023-012,308,Kg,30100.0,9270800.0,TZS,2025-09-10,13-Oct-2025,2025-10-11,GRN-2025-0019,,,,,,6,False,PC-2025-105,
PRC-2025-0020,GRT-2024-002,PRJ-2024-003,BDL-0163,VND-0007,LOC-ARU-003,FP-2025-08,STS-009,Quotation,Iron Sheets for PRJ-2024-003,61,Boxes,43600.0,2659600.0,TZS,2025-08-10,2025-08-27,2025-09-07,GRN-2025-0020,INV-VND-2025-0020,2025-09-12,2025-10-12,2025-10-06,EXP-87580,4,False,,
PRC-2025-0021,GRT-2023-005,PRJ-2023-010,BDL-0143,VND-0008,LOC-KIL-001,FP-2025-02,STS-006,Direct Purchase,Manila Files Box for PRJ-2023-010,28,Boxes,17100.0,478800.0,TZS,19/02/2025,2025-02-28,,,,,,,,1,False,,
PRC-2025-0022,GRT-2024-001,PRJ-2024-007,BDL-0089,VND-0055,LOC-ARU-002,FP-2025-06,STS-010,Quotation,Sunflower Seeds 1kg for PRJ-2024-007,150,Units,15800.0,2370000.0,TZS,2025-06-23,2025-07-06,2025-07-21,GRN-2025-0022,,2025-07-24,2025-08-23,2025-08-17,EXP-61990,5,False,,
PRC-2025-0023,GRT-2023-001,PRJ-2023-002,BDL-0012,VND-0145,LOC-KIL-002,FP-2025-07,STS-008,Tender,Eucalyptus Seedlings for PRJ-2023-002,6294,Litres,800.0,5035200.0,TZS,2025-07-19,2025-08-24,2025-08-25,GRN-2025-0023,INV-VND-2025-0023,2025-08-31,,,,6,False,PC-2025-028,
PRC-2025-0024,GRT-2024-001,PRJ-2024-002,BDL-0090,VND-0077,LOC-KIL-004,FP-2025-06,STS-009,Quotation,Markers Set for PRJ-2024-002,48,Boxes,12500.0,600000.0,TZS,2025-06-30,2025-07-18,2025-07-30,GRN-2025-0024,INV-VND-2025-0024,2025-08-06,2025-09-05,2025-09-01,EXP-88139,5,False,,
PRC-2025-0025,GRT-2023-001,PRJ-2023-001,BDL-0003,VND-0064,LOC-KIL-001,FP-2025-07,STS-008,Quotation,Office Chair for PRJ-2023-001,9,Litres,292700.0,2634300.0,TZS,2025-07-03,2025-08-01,2025-08-12,GRN-2025-0025,INV-VND-2025-0025,2025-08-15,,,,4,False,PC-2025-142,
PRC-2025-0026,GRT-2023-004,PRJ-2023-009,BDL-0118,VND-0077,LOC-MAN-003,FP-2025-10,STS-001,Tender,Improved Maize Seed 5kg for PRJ-2023-009,874,Boxes,17500.0,15295000.0,TZS,2025-10-15,2025-10-30,,,,,,,,4,False,PC-2025-078,
PRC-2025-0027,GRT-2023-002,PRJ-2023-004,BDL-0022,VND-0084,LOC-ARU-002,FP-2025-02,STS-009,Quotation,Participant Bags for PRJ-2023-004,116,Sets,23700.0,2749200.0,TZS,2025-02-17,2025-03-21,2025-04-02,GRN-2025-0027,INV-VND-2025-0027,2025-04-08,2025-05-08,2025-05-06,EXP-29555,3,False,PC-2025-065,
PRC-2025-0028,GRT-2024-001,PRJ-2024-007,BDL-0096,VND-0130,LOC-ARU-002,FP-2025-04,STS-009,Quotation,Projector Epson for PRJ-2024-007,1,Kg,1302000.0,1302000.0,TZS,2025-04-05,2025-04-27,2025-04-29,GRN-2025-0028,INV-VND-2025-0028,2025-05-01,2025-05-31,2025-07-03,EXP-87832,3,False,,
PRC-2025-0029,GRT-2021-001,PRJ-2023-007,BDL-0203,VND-0129,LOC-ARU-001,FP-2025-06,STS-007,Quotation,Blood Pressure Monitors for PRJ-2023-007,9,Litres,354100.0,3186900.0,TZS,2025-06-11,2025-07-16,2025-07-16,GRN-2025-0029,,,,,,3,False,,
PRC-2025-0030,GRT-2023-005,PRJ-2023-010,BDL-0150,VND-0144,LOC-KIL-001,FP-2025-04,STS-002,Quotation,Improved Maize Seed 5kg for PRJ-2023-010,318,Litres,20500.0,6519000.0,TZS,2025-04-14,2025-05-21,,,,,,,,5,False,PC-2025-148,
PRC-2025-0031,GRT-2022-003,PRJ-2023-003,BDL-0057,VND-0126,LOC-KIL-003,FP-2025-08,STS-007,Quotation,Fruit Tree Seedlings for PRJ-2023-003,3010,Sets,1300.0,3913000.0,TZS,2025-08-08,2025-09-19,2025-09-17,GRN-2025-0031,,,,,,4,False,PC-2025-106,
PRC-2025-0032,GRT-2023-002,PRJ-2023-012,BDL-0036,VND-0122,LOC-ARU-001,FP-2025-03,STS-006,Quotation,Oral Rehydration Salts for PRJ-2023-012,104,Litres,38100.0,3962400.0,TZS,23-Mar-2025,2025-04-17,,,,,,,,5,False,PC-2025-114,
PRC-2025-0033,GRT-2024-001,PRJ-2024-001,BDL-0083,VND-0130,LOC-MAN-001,FP-2025-06,STS-007,Quotation,Malaria Rapid Test Kits Box for PRJ-2024-001,59,Litres,260200.0,15351800.0,TZS,2025-06-03,2025-07-06,2025-07-18,GRN-2025-0033,,,,,,6,False,PC-2025-184,
PRC-2025-0034,GRT-2023-004,PRJ-2023-009,BDL-0113,VND-0067,LOC-MAN-003,FP-2025-07,STS-009,Tender,Improved Maize Seed 5kg for PRJ-2023-009,462,Units,17500.0,8085000.0,TZS,2025-07-10,2025-08-07,2025-08-21,GRN-2025-0034,INV-VND-2025-0034,2025-08-25,2025-09-24,2025-09-19,EXP-34727,4,False,PC-2025-115,
PRC-2025-0035,GRT-2022-004,PRJ-2023-005,BDL-0134,VND-0109,LOC-KIL-001,FP-2025-03,STS-009,Quotation,Timber Planks for PRJ-2023-005,180,Litres,16800.0,3024000.0,TZS,2025-03-29,2025-05-01,2025-05-02,GRN-2025-0035,INV-VND-2025-0035,2025-05-09,2025-06-08,,EXP-91691,4,False,PC-2025-026,
PRC-2025-0036,GRT-2022-003,PRJ-2023-003,BDL-0049,VND-0068,LOC-KIL-003,FP-2025-01,STS-009,Quotation,External Hard Drive for PRJ-2023-003,3,Boxes,196200.0,588600.0,TZS,2025-01-29,2025-02-07,2025-02-14,GRN-2025-0036,INV-VND-2025-0036,2025-02-17,2025-03-19,2025-03-13,EXP-29080,5,False,PC-2025-026,
PRC-2025-0037,GRT-2023-004,PRJ-2023-008,BDL-0114,VND-0083,LOC-MAN-002,FP-2025-07,STS-003,Tender,Improved Maize Seed 5kg for PRJ-2023-008,924,Pieces,18300.0,16909200.0,TZS,2025-07-10,2025-08-23,,,,,,,,7,False,PC-2025-041,
PRC-2025-0038,GRT-2023-001,PRJ-2023-011,BDL-0004,VND-0138,LOC-MAN-001,FP-2025-06,STS-009,Quotation,UPS Battery for PRJ-2023-011,2,Boxes,516700.0,1033400.0,TZS,2025-06-04,2025-06-11,2025-06-26,GRN-2025-0038,INV-VND-2025-0038,2025-07-03,2025-08-02,2025-08-02,EXP-89482,4,False,PC-2025-006,
PRC-2025-0039,GRT-2022-004,PRJ-2023-005,BDL-0122,VND-0139,LOC-KIL-001,FP-2025-07,STS-010,Quotation,Notebooks Pack for PRJ-2023-005,168,Sets,7700.0,1293600.0,TZS,2025-07-01,2025-08-03,2025-08-05,GRN-2025-0039,INV-VND-2025-0039,2025-08-12,2025-09-11,,EXP-79579,4,False,,
PRC-2025-0040,GRT-2023-004,PRJ-2023-008,BDL-0112,VND-0029,LOC-MAN-002,FP-2025-07,STS-006,Quotation,Office Desk for PRJ-2023-008,4,Litres,605100.0,2420400.0,TZS,2025-07-29,2025-08-28,,,,,,,,4,False,PC-2025-173,
PRC-2025-0041,GRT-2022-003,PRJ-2023-003,BDL-0056,VND-0126,LOC-KIL-003,FP-2025-03,STS-006,Quotation,Office Desk for PRJ-2023-003,3,Litres,738800.0,2216400.0,TZS,2025-03-25,2025-04-25,,,,,,,,4,False,,
PRC-2025-0042,GRT-2022-004,PRJ-2023-005,BDL-0132,VND-0098,LOC-KIL-001,FP-2025-05,STS-008,Quotation,Participant Bags for PRJ-2023-005,190,Sets,24200.0,4598000.0,TZS,2025-05-15,2025-06-14,2025-06-14,GRN-2025-0042,INV-VND-2025-0042,2025-06-17,,,,5,False,,
PRC-2025-0043,GRT-2023-001,PRJ-2023-002,BDL-0011,VND-0048,LOC-KIL-002,FP-2025-07,STS-010,Quotation,Printer Canon for PRJ-2023-002,1,Pieces,927600.0,927600.0,TZS,2025-07-02,2025-07-18,2025-07-15,GRN-2025-0043,INV-VND-2025-0043,2025-07-17,2025-08-16,2025-08-08,EXP-42853,3,False,,
PRC-2025-0044,GRT-2024-004,PRJ-2024-006,BDL-0213,VND-0117,LOC-MAN-002,FP-2025-10,STS-009,Quotation,Training Handouts Printing for PRJ-2024-006,253,Units,32500.0,8222500.0,TZS,2025-10-08,2025-11-03,2025-11-14,GRN-2025-0044,INV-VND-2025-0044,2025-11-15,2025-12-15,2026-01-19,EXP-62640,7,False,PC-2025-012,
PRC-2025-0045,GRT-2024-001,PRJ-2024-002,BDL-0095,VND-0114,LOC-KIL-004,FP-2025-05,STS-009,Quotation,Paint 20L for PRJ-2024-002,12,Pieces,91400.0,1096800.0,TZS,2025-05-05,2025-06-08,2025-06-19,GRN-2025-0045,INV-VND-2025-0045,2025-06-23,2025-07-23,2025-07-16,EXP-62262,5,False,PC-2025-167,
PRC-2025-0046,GRT-2023-002,PRJ-2023-004,BDL-0033,VND-0043,LOC-ARU-002,FP-2025-08,STS-010,Quotation,Manila Files Box for PRJ-2023-004,96,Litres,15600.0,1497600.0,TZS,2025-08-19,2025-08-29,2025-09-04,GRN-2025-0046,INV-VND-2025-0046,2025-09-07,2025-10-07,2025-11-13,EXP-37884,5,False,PC-2025-032,
PRC-2025-0047,GRT-2023-003,PRJ-2023-013,BDL-0080,VND-0039,LOC-ARU-001,FP-2025-07,STS-009,Direct Purchase,UPS Battery for PRJ-2023-013,1,Litres,435700.0,435700.0,TZS,2025-07-07,2025-08-05,2025-08-02,GRN-2025-0047,INV-VND-2025-0047,2025-08-04,2025-09-03,2025-08-28,EXP-19120,1,False,,
PRC-2025-0048,GRT-2024-001,PRJ-2024-007,BDL-0085,VND-0135,LOC-ARU-002,FP-2025-08,STS-009,Quotation,Motorcycle Honda for PRJ-2024-007,1,Litres,4141800.0,4141800.0,TZS,2025-08-15,2025-09-08,2025-09-11,GRN-2025-0048,INV-VND-2025-0048,2025-09-12,2025-10-12,2025-10-11,EXP-47125,4,False,PC-2025-170,
PRC-2025-0049,GRT-2023-002,PRJ-2023-004,BDL-0022,VND-0087,LOC-ARU-002,FP-2025-07,STS-009,Quotation,Office Chair for PRJ-2023-004,6,Sets,289300.0,1735800.0,TZS,2025-07-15,2025-07-26,2025-08-04,GRN-2025-0049,INV-VND-2025-0049,2025-08-05,2025-09-04,2025-08-28,EXP-20205,3,False,PC-2025-129,
PRC-2025-0050,GRT-2024-002,PRJ-2024-003,BDL-0156,VND-0142,LOC-ARU-003,FP-2025-07,STS-007,Tender,Paracetamol Tablets for PRJ-2024-003,276,Pieces,28900.0,7976400.0,TZS,2025-07-04,2025-07-21,2025-07-20,GRN-2025-0050,,,,,,5,False,PC-2025-191,
PRC-2025-0051,GRT-2022-004,PRJ-2023-005,BDL-0126,VND-0089,LOC-KIL-001,FP-2025-09,STS-009,Quotation,Bean Seeds 2kg for PRJ-2023-005,228,Units,11300.0,2576400.0,TZS,2025-09-24,2025-10-30,2025-11-14,GRN-2025-0051,INV-VND-2025-0051,2025-11-18,2025-12-18,,EXP-94278,5,False,,
PRC-2025-0052,GRT-2024-003,PRJ-2024-005,BDL-0188,VND-0132,LOC-ARU-004,FP-2025-02,STS-008,Quotation,Fruit Tree Seedlings for PRJ-2024-005,1230,Pieces,1300.0,1599000.0,TZS,2025-02-05,2025-03-12,2025-03-27,GRN-2025-0052,INV-VND-2025-0052,2025-03-30,,,,3,False,PC-2025-158,
PRC-2025-0053,GRT-2024-003,PRJ-2024-005,BDL-0188,VND-0042,LOC-ARU-004,FP-2025-07,STS-009,Quotation,Fruit Tree Seedlings for PRJ-2024-005,2162,Pieces,1300.0,2810600.0,TZS,2025-07-05,2025-07-16,2025-07-23,GRN-2025-0053,INV-VND-2025-0053,2025-07-29,2025-08-28,2025-08-24,EXP-96057,5,False,,
PRC-2025-0054,GRT-2023-002,PRJ-2023-012,BDL-0034,VND-0054,LOC-ARU-001,FP-2025-05,STS-007,Tender,Cement Bags for PRJ-2023-012,293,Units,28200.0,8262600.0,TZS,2025-05-04,2025-06-01,2025-06-13,GRN-2025-0054,,,,,,3,False,PC-2025-093,
PRC-2025-0055,GRT-2024-004,PRJ-2024-006,BDL-0211,VND-0079,LOC-MAN-002,FP-2025-08,STS-010,Quotation,Motorcycle Honda for PRJ-2024-006,1,Boxes,4232500.0,4232500.0,TZS,2025-08-27,2025-09-05,2025-09-15,GRN-2025-0055,INV-VND-2025-0055,2025-09-21,2025-10-21,2025-10-14,EXP-90031,5,False,PC-2025-198,
PRC-2025-0056,GRT-2024-003,PRJ-2024-005,BDL-0188,VND-0028,LOC-ARU-004,FP-2025-09,STS-002,Quotation,Paint 20L for PRJ-2024-005,38,Units,93900.0,3568200.0,TZS,2025-09-18,2025-10-18,,,,,,,,5,False,PC-2025-036,
PRC-2025-0057,GRT-2024-004,PRJ-2024-006,BDL-0214,VND-0092,LOC-MAN-002,FP-2025-05,STS-009,Tender,Paracetamol Tablets for PRJ-2024-006,365,Sets,31700.0,11570500.0,TZS,2025-05-15,2025-06-15,2025-06-14,GRN-2025-0057,INV-VND-2025-0057,2025-06-15,2025-07-15,,EXP-95191,3,False,PC-2025-102,
PRC-2025-0058,GRT-2021-001,PRJ-2023-007,BDL-0194,VND-0127,LOC-ARU-001,FP-2025-02,STS-007,Direct Purchase,Network Switch for PRJ-2023-007,1,Litres,369400.0,369400.0,TZS,2025-02-08,02-Mar-2025,2025-03-12,GRN-2025-0058,,,,,,1,False,,
PRC-2025-0059,GRT-2024-001,PRJ-2024-001,BDL-0096,VND-0141,LOC-MAN-001,FP-2025-10,STS-003,Quotation,Eucalyptus Seedlings for PRJ-2024-001,6779,Units,800.0,5423200.0,TZS,10-11-2025,2025-11-21,,,,,,,,7,False,PC-2025-093,
PRC-2025-0060,GRT-2023-004,PRJ-2023-009,BDL-0100,VND-0133,LOC-MAN-003,FP-2025-07,STS-007,Tender,Eucalyptus Seedlings for PRJ-2023-009,7997,Sets,800.0,6397600.0,TZS,2025-07-07,25/07/2025,2025-08-05,GRN-2025-0060,,,,,,4,False,PC-2025-012,
PRC-2025-0061,GRT-2023-001,PRJ-2023-002,BDL-0011,VND-0093,LOC-KIL-002,FP-2025-07,STS-009,Quotation,Conference Table for PRJ-2023-002,1,Litres,1306000.0,1306000.0,TZS,2025-07-03,2025-07-27,2025-07-27,GRN-2025-0061,INV-VND-2025-0061,2025-07-31,2025-08-30,2025-08-23,EXP-60678,3,False,,
PRC-2025-0062,GRT-2024-001,PRJ-2024-001,BDL-0093,VND-0077,LOC-MAN-001,FP-2025-08,STS-008,Quotation,Indigenous Tree Seedlings for PRJ-2024-001,7547,Kg,600.0,4528200.0,TZS,2025-08-31,2025-09-09,2025-09-17,GRN-2025-0062,INV-VND-2025-0062,2025-09-21,,,,5,False,,
PRC-2025-0063,GRT-2023-001,PRJ-2023-001,BDL-0005,VND-0123,LOC-KIL-001,FP-2025-07,STS-009,Direct Purchase,Flipchart Paper Pad for PRJ-2023-001,13,Sets,17300.0,224900.0,TZS,2025-07-19,2025-08-19,2025-09-03,GRN-2025-0063,,2025-09-05,05/10/2025,2025-09-30,EXP-58760,1,False,,
PRC-2025-0064,GRT-2023-002,PRJ-2023-012,BDL-0025,VND-0095,LOC-ARU-001,FP-2025-09,STS-010,Quotation,Markers Set for PRJ-2023-012,59,Pieces,11700.0,690300.0,TZS,2025-09-03,2025-09-21,2025-10-02,GRN-2025-0064,INV-VND-2025-0064,2025-10-09,2025-11-08,2025-11-03,EXP-97535,4,False,,
PRC-2025-0065,GRT-2023-002,PRJ-2023-004,BDL-0028,VND-0112,LOC-ARU-002,FP-2025-03,STS-009,Direct Purchase,Flipchart Paper Pad for PRJ-2023-004,20,Kg,18800.0,376000.0,TZS,2025-03-22,2025-04-03,2025-04-02,GRN-2025-0065,INV-VND-2025-0065,2025-04-08,2025-05-08,2025-04-30,EXP-63843,1,False,,
PRC-2025-0066,GRT-2024-001,PRJ-2024-007,BDL-0088,VND-0079,LOC-ARU-002,FP-2025-05,STS-007,Tender,Cement Bags for PRJ-2024-007,349,Litres,28800.0,10051200.0,TZS,2025-05-10,2025-06-08,2025-06-21,GRN-2025-0066,,,,,,4,False,PC-2025-042,
PRC-2025-0067,GRT-2022-003,PRJ-2023-003,BDL-0058,VND-0114,LOC-KIL-003,FP-2025-01,STS-009,Quotation,Printer Canon for PRJ-2023-003,1,Litres,897700.0,897700.0,TZS,2025-01-29,2025-02-10,2025-02-08,GRN-2025-0067,INV-VND-2025-0067,2025-02-15,2025-03-17,2025-03-07,EXP-37631,5,False,PC-2025-087,
PRC-2025-0068,GRT-2022-003,PRJ-2023-003,BDL-0043,VND-0101,LOC-KIL-003,FP-2025-07,STS-007,Quotation,Conference Table for PRJ-2023-003,1,Units,1182100.0,1182100.0,TZS,2025-07-10,2025-08-11,2025-08-12,GRN-2025-0068,,,,,,3,False,PC-2025-081,
PRC-2025-0069,GRT-2024-001,PRJ-2024-001,BDL-0095,VND-0067,LOC-MAN-001,FP-2025-09,STS-010,Quotation,Toyota Hilux Double Cab for PRJ-2024-001,1,Sets,34569000.0,34569000.0,TZS,2025-09-11,2025-10-19,2025-10-25,GRN-2025-0069,INV-VND-2025-0069,2025-10-26,2025-11-25,17/11/2025,EXP-69930,4,False,PC-2025-128,
PRC-2025-0070,GRT-2023-004,PRJ-2023-009,BDL-0111,VND-0033,LOC-MAN-003,FP-2025-09,STS-008,Quotation,Toner Cartridge for PRJ-2023-009,11,Pieces,46800.0,514800.0,TZS,2025-09-02,2025-10-14,2025-10-19,GRN-2025-0070,INV-VND-2025-0070,2025-10-24,,,,4,False,,
PRC-2025-0071,GRT-2024-002,PRJ-2024-004,BDL-0170,VND-0093,LOC-MAN-004,FP-2025-03,STS-010,Quotation,Pens and Pencils Box for PRJ-2024-004,78,Litres,13200.0,1029600.0,TZS,2025-03-27,2025-04-23,2025-04-30,GRN-2025-0071,INV-VND-2025-0071,2025-05-05,2025-06-04,2025-05-31,EXP-87820,5,False,,
PRC-2025-0072,GRT-2023-001,PRJ-2023-001,BDL-0020,VND-0087,LOC-KIL-001,FP-2025-07,STS-009,Quotation,Printer Canon for PRJ-2023-001,1,Litres,889000.0,889000.0,TZS,2025-07-28,2025-08-13,2025-08-17,GRN-2025-0072,,2025-08-23,2025-09-22,2025-09-28,EXP-67807,3,False,PC-2025-135,
PRC-2025-0073,GRT-2021-001,PRJ-2023-007,BDL-0207,VND-0080,LOC-ARU-001,FP-2025-05,STS-009,Quotation,Participant Bags for PRJ-2023-007,97,Sets,23600.0,2289200.0,TZS,2025-05-30,2025-07-06,2025-07-09,GRN-2025-0073,INV-VND-2025-0073,2025-07-12,2025-08-11,2025-08-08,EXP-49008,5,False,PC-2025-088,
PRC-2025-0074,GRT-2024-002,PRJ-2024-004,BDL-0166,VND-0056,LOC-MAN-004,FP-2025-09,STS-006,Tender,Improved Maize Seed 5kg for PRJ-2024-004,465,Pieces,19400.0,9021000.0,TZS,2025-09-17,2025-10-07,,,,,,,,6,False,PC-2025-168,
PRC-2025-0075,GRT-2024-001,PRJ-2024-007,BDL-0090,VND-0044,LOC-ARU-002,FP-2025-03,STS-004,Quotation,Iron Sheets for PRJ-2024-007,72,Sets,41100.0,2959200.0,TZS,2025-03-26,2025-04-02,,,,,,,,4,False,PC-2025-085,
PRC-2025-0076,GRT-2024-001,PRJ-2024-001,BDL-0093,VND-0049,LOC-MAN-001,FP-2025-04,STS-002,Quotation,Reams of A4 Paper for PRJ-2024-001,295,Sets,4800.0,1416000.0,TZS,2025-04-14,2025-05-17,,,,,,,,5,False,PC-2025-186,
PRC-2025-0077,GRT-2024-001,PRJ-2024-001,BDL-0084,VND-0072,LOC-MAN-001,FP-2025-03,STS-009,Quotation,Projector Epson for PRJ-2024-001,1,Pieces,1180500.0,1180500.0,TZS,2025-03-24,2025-05-02,2025-05-13,GRN-2025-0077,INV-VND-2025-0077,2025-05-20,2025-06-19,2025-07-04,EXP-70150,4,False,PC-2025-165,
